County Latitude,County Longitude,county,type,modified,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,occurrenceid,catalognumber,recordnumber,recordedby,individualcount,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,othercatalognumbers,occurrenceremarks,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,materialsampleid,eventid,fieldnumber,eventdate,eventtime,startdayofyear,enddayofyear,year,decade,month,day,verbatimeventdate,habitat,samplingprotocol,samplingeffort,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,municipality,locality,verbatimlocality,minimumelevationinmeters,maximumelevationinmeters,verbatimelevation,minimumdepthinmeters,maximumdepthinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,coordinateprecision,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,footprintwkt,footprintsrs,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identificationqualifier,typestatus,identifiedby,dateidentified,identificationreferences,identificationverificationstatus,identificationremarks,scientificnameid,namepublishedinid,scientificname,acceptednameusage,originalnameusage,namepublishedin,namepublishedinyear,higherclassification,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,taxonremarks,lengthinmm,lengthtype,lengthunitsinferred,massing,massunitsinferred,underivedlifestage,underivedsex,dataset_url,dataset_citation,gbifdatasetid,gbifpublisherid,dataset_contact_email,dataset_contact,dataset_pubdate,lastindexed,migrator_version,hasmedia,hastissue,wascaptive,isfossil,isarch,vntype,haslength
29.9603,-98.7481,Kendall,PhysicalObject,6/20/2019,https://creativecommons.org/publicdomain/zero/1.0,,http://vertnet.org/resources/norms.html,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Record ID: 6DEF8A86-4B95-4740-A872-DD46DF2E9EC8. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),http://portal.vertnet.org/o/lacm/herps?id=6def8a86-4b95-4740-a872-dd46df2e9ec8,http://biocol.org/urn:lsid:biocol:org:34802,http://biocol.org/urn:lsid:biocol:org:34803,,LACM,Herps,LACM Vertebrates,PreservedSpecimen,,,,6DEF8A86-4B95-4740-A872-DD46DF2E9EC8,125388,CSL 3315,UCLA Class,1,,,,,,present,,,,,,,,Gonad Histology Slide available by Stephen Goldberg,,,,,,,,,,,4/13/1976,,104,104,1976,1970,4,13,13-20 Apr 1976,,,,,,,,| USA | Texas | Kendall |  |  |  |,North America,,,,United States,US,Texas,,"14 km NNE Boerne, Alzafar Camp","USA | Texas | Kendall | 14 km NNE Boerne, Alzafar Camp",425,370,370-425,,,,,,,,29.89663,-98.65515,NAD27,842,,,29.89663,-98.65515,degrees decimal minutes,,,,,,VertNet Georeferencing Guidelines,,requires verification,georef at approx center of Camp Alzafar proper; extent includes area on property where most of the collections were made,,,,,,,,,,,,,,,,,,,,,,,2011,,,,,,Bufo nebulifer,,,,,Chordata | Amphibia | Anura | Bufonidae | Bufo |,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,nebulifer,,species,,,,ICZN,,,,,,,,,,,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),7a25f7aa-03fb-4322-aaeb-66719e1a9527,493fe050-055d-11d8-b84f-b8a03c50a862,rfeeney@nhm.org,Rick Feeney,10/3/2019,10/9/2019,10/3/2019,0,0,0,0,0,specimen,0
29.9603,-98.7481,Kendall,PhysicalObject,6/20/2019,https://creativecommons.org/publicdomain/zero/1.0,,http://vertnet.org/resources/norms.html,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Record ID: 89B59F52-AB84-40DF-B329-9AA927CAB43E. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),http://portal.vertnet.org/o/lacm/herps?id=89b59f52-ab84-40df-b329-9aa927cab43e,http://biocol.org/urn:lsid:biocol:org:34802,http://biocol.org/urn:lsid:biocol:org:34803,,LACM,Herps,LACM Vertebrates,PreservedSpecimen,,,,89B59F52-AB84-40DF-B329-9AA927CAB43E,125390,CSL 3823,UCLA Class,1,,,,,,present,,,,,,,,Gonad Histology Slide available by Stephen Goldberg,,,,,,,,,,,4/13/1976,,104,104,1976,1970,4,13,13-20 Apr 1976,,,,,,,,| USA | Texas | Kendall |  |  |  |,North America,,,,United States,US,Texas,,"14 km NNE Boerne, Alzafar Camp","USA | Texas | Kendall | 14 km NNE Boerne, Alzafar Camp",425,370,370-425,,,,,,,,29.89663,-98.65515,NAD27,842,,,29.89663,-98.65515,degrees decimal minutes,,,,,,VertNet Georeferencing Guidelines,,requires verification,georef at approx center of Camp Alzafar proper; extent includes area on property where most of the collections were made,,,,,,,,,,,,,,,,,,,,,,,2011,,,,,,Bufo nebulifer,,,,,Chordata | Amphibia | Anura | Bufonidae | Bufo |,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,nebulifer,,species,,,,ICZN,,,,,,,,,,,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),7a25f7aa-03fb-4322-aaeb-66719e1a9527,493fe050-055d-11d8-b84f-b8a03c50a862,rfeeney@nhm.org,Rick Feeney,10/3/2019,10/9/2019,10/3/2019,0,0,0,0,0,specimen,0
29.8688,-101.1617,Val Verde,PhysicalObject,6/20/2019,https://creativecommons.org/publicdomain/zero/1.0,,http://vertnet.org/resources/norms.html,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Record ID: BB4B3635-8C6E-4F85-8A02-83879C106813. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),http://portal.vertnet.org/o/lacm/herps?id=bb4b3635-8c6e-4f85-8a02-83879c106813,http://biocol.org/urn:lsid:biocol:org:34802,http://biocol.org/urn:lsid:biocol:org:34803,,LACM,Herps,LACM Vertebrates,PreservedSpecimen,,,,BB4B3635-8C6E-4F85-8A02-83879C106813,88438,680719-23,R.A. Blake,1,,,,,,present,,,,,,,,Gonad Histology Slide available by Stephen Goldberg,,,,,,,,,,,7/19/1968,,201,201,1968,1960,7,19,7/19/1968,,,,,,,,| USA | Texas | Val Verde |  |  |  |,North America,,,,United States,US,Texas,,"N.W. of Del Rio, Devil River & U.S. #90","USA | Texas | Val Verde | N.W. of Del Rio, Devil River & U.S. #90",,,,,,,,,,,29.48547,-100.99711,NAD27,396,,,29.48547,-100.99711,degrees decimal minutes,,,,,,VertNet Georeferencing Guidelines,,requires verification,"georef at pre-reservoir Hwy 90 bridge, from 1944 edition map",,,,,,,,,,,,,,,,,,,,,,,2011,,,,,,Bufo nebulifer,,,,,Chordata | Amphibia | Anura | Bufonidae | Bufo |,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,nebulifer,,species,,,,ICZN,,,,,,,,,,,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),7a25f7aa-03fb-4322-aaeb-66719e1a9527,493fe050-055d-11d8-b84f-b8a03c50a862,rfeeney@nhm.org,Rick Feeney,10/3/2019,10/9/2019,10/3/2019,0,0,0,0,0,specimen,0
29.9603,-98.7481,Kendall,PhysicalObject,6/20/2019,https://creativecommons.org/publicdomain/zero/1.0,,http://vertnet.org/resources/norms.html,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Record ID: DACCCE8E-2F5C-445D-A156-AE050FF6F6C0. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),http://portal.vertnet.org/o/lacm/herps?id=daccce8e-2f5c-445d-a156-ae050ff6f6c0,http://biocol.org/urn:lsid:biocol:org:34802,http://biocol.org/urn:lsid:biocol:org:34803,,LACM,Herps,LACM Vertebrates,PreservedSpecimen,,,,DACCCE8E-2F5C-445D-A156-AE050FF6F6C0,125391,CSL 3824,UCLA Class,1,,,,,,present,,,,,,,,Gonad Histology Slide available by Stephen Goldberg,,,,,,,,,,,4/13/1976,,104,104,1976,1970,4,13,13-20 Apr 1976,,,,,,,,| USA | Texas | Kendall |  |  |  |,North America,,,,United States,US,Texas,,"14 km NNE Boerne, Alzafar Camp","USA | Texas | Kendall | 14 km NNE Boerne, Alzafar Camp",425,370,370-425,,,,,,,,29.89663,-98.65515,NAD27,842,,,29.89663,-98.65515,degrees decimal minutes,,,,,,VertNet Georeferencing Guidelines,,requires verification,georef at approx center of Camp Alzafar proper; extent includes area on property where most of the collections were made,,,,,,,,,,,,,,,,,,,,,,,2011,,,,,,Bufo nebulifer,,,,,Chordata | Amphibia | Anura | Bufonidae | Bufo |,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,nebulifer,,species,,,,ICZN,,,,,,,,,,,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),7a25f7aa-03fb-4322-aaeb-66719e1a9527,493fe050-055d-11d8-b84f-b8a03c50a862,rfeeney@nhm.org,Rick Feeney,10/3/2019,10/9/2019,10/3/2019,0,0,0,0,0,specimen,0
30.9802,-99.8125,Menard,PhysicalObject,6/20/2019,https://creativecommons.org/publicdomain/zero/1.0,,http://vertnet.org/resources/norms.html,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Record ID: DE01769D-C979-4A96-A056-A27FEA29450F. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),http://portal.vertnet.org/o/lacm/herps?id=de01769d-c979-4a96-a056-a27fea29450f,http://biocol.org/urn:lsid:biocol:org:34802,http://biocol.org/urn:lsid:biocol:org:34803,,LACM,Herps,LACM Vertebrates,PreservedSpecimen,,,,DE01769D-C979-4A96-A056-A27FEA29450F,65303,1416,R.D. Worthington,1,,,,,,present,,,,,,,,Gonad Histology Slide available by Stephen Goldberg,,,,,,,,,,,5/27/1962,,147,147,1962,1960,5,27,5/27/1962,,,,,,,,| USA | Texas | Menard |  |  |  |,North America,,,,United States,US,Texas,,"Menard, at San Saba River","USA | Texas | Menard | Menard, at San Saba River",,,,,,,,,,,30.91905,-99.78537,NAD27,1003,,,30.91905,-99.78537,degrees decimal minutes,,,,,,VertNet Georeferencing Guidelines,,requires verification,georef at approx midpoint of San Saba River extent within town of Menard,,,,,,,,,,,,,,,,,,,,,,,2011,,,,,,Bufo nebulifer,,,,,Chordata | Amphibia | Anura | Bufonidae | Bufo |,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,nebulifer,,species,,,,ICZN,,,,,,,,,,,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),7a25f7aa-03fb-4322-aaeb-66719e1a9527,493fe050-055d-11d8-b84f-b8a03c50a862,rfeeney@nhm.org,Rick Feeney,10/3/2019,10/9/2019,10/3/2019,0,0,0,0,0,specimen,0
29.8688,-101.1617,Val Verde,PhysicalObject,6/20/2019,https://creativecommons.org/publicdomain/zero/1.0,,http://vertnet.org/resources/norms.html,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Record ID: DF7D1E2A-3BB0-4B25-A93C-D7D5899870E7. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),http://portal.vertnet.org/o/lacm/herps?id=df7d1e2a-3bb0-4b25-a93c-d7d5899870e7,http://biocol.org/urn:lsid:biocol:org:34802,http://biocol.org/urn:lsid:biocol:org:34803,,LACM,Herps,LACM Vertebrates,PreservedSpecimen,,,,DF7D1E2A-3BB0-4B25-A93C-D7D5899870E7,88436,680719-15,R.A. Blake,1,,,,,,present,,,,,,,,,,,,,,,,,,,7/18/1968,,200,200,1968,1960,7,18,7/18/1968,,,,,,,,| USA | Texas | Val Verde |  |  |  |,North America,,,,United States,US,Texas,,"N.W. of Del Rio, Devil River & U.S. #90","USA | Texas | Val Verde | N.W. of Del Rio, Devil River & U.S. #90",,,,,,,,,,,29.48547,-100.99711,NAD27,396,,,29.48547,-100.99711,degrees decimal minutes,,,,,,VertNet Georeferencing Guidelines,,requires verification,"georef at pre-reservoir Hwy 90 bridge, from 1944 edition map",,,,,,,,,,,,,,,,,,,,,,,2011,,,,,,Bufo nebulifer,,,,,Chordata | Amphibia | Anura | Bufonidae | Bufo |,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,nebulifer,,species,,,,ICZN,,,,,,,,,,,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),7a25f7aa-03fb-4322-aaeb-66719e1a9527,493fe050-055d-11d8-b84f-b8a03c50a862,rfeeney@nhm.org,Rick Feeney,10/3/2019,10/9/2019,10/3/2019,0,0,0,0,0,specimen,0
30.9802,-99.8125,Menard,PhysicalObject,6/20/2019,https://creativecommons.org/publicdomain/zero/1.0,,http://vertnet.org/resources/norms.html,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Record ID: 2B39167A-CA59-4274-B6C9-D28BD235C229. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),http://portal.vertnet.org/o/lacm/herps?id=2b39167a-ca59-4274-b6c9-d28bd235c229,http://biocol.org/urn:lsid:biocol:org:34802,http://biocol.org/urn:lsid:biocol:org:34803,,LACM,Herps,LACM Vertebrates,PreservedSpecimen,,,,2B39167A-CA59-4274-B6C9-D28BD235C229,65304,1417,R.D. Worthington,1,,,,,,present,,,,,,,,Gonad Histology Slide available by Stephen Goldberg,,,,,,,,,,,5/27/1962,,147,147,1962,1960,5,27,5/27/1962,,,,,,,,| USA | Texas | Menard |  |  |  |,North America,,,,United States,US,Texas,,"Menard, at San Saba River","USA | Texas | Menard | Menard, at San Saba River",,,,,,,,,,,30.91905,-99.78537,NAD27,1003,,,30.91905,-99.78537,degrees decimal minutes,,,,,,VertNet Georeferencing Guidelines,,requires verification,georef at approx midpoint of San Saba River extent within town of Menard,,,,,,,,,,,,,,,,,,,,,,,2011,,,,,,Bufo nebulifer,,,,,Chordata | Amphibia | Anura | Bufonidae | Bufo |,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,nebulifer,,species,,,,ICZN,,,,,,,,,,,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),7a25f7aa-03fb-4322-aaeb-66719e1a9527,493fe050-055d-11d8-b84f-b8a03c50a862,rfeeney@nhm.org,Rick Feeney,10/3/2019,10/9/2019,10/3/2019,0,0,0,0,0,specimen,0
29.3343,-99.8125,Uvalde,PhysicalObject,6/20/2019,https://creativecommons.org/publicdomain/zero/1.0,,http://vertnet.org/resources/norms.html,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Record ID: 32085F0F-1A97-4825-BF65-3017F34F37B4. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),http://portal.vertnet.org/o/lacm/herps?id=32085f0f-1a97-4825-bf65-3017f34f37b4,http://biocol.org/urn:lsid:biocol:org:34802,http://biocol.org/urn:lsid:biocol:org:34803,,LACM,Herps,LACM Vertebrates,PreservedSpecimen,,,,32085F0F-1A97-4825-BF65-3017F34F37B4,64166,DRP 1677,D.R. Paulson,1,,,,,,present,,,,,,,,,,,,,,,,,,,6/23/1961,,174,174,1961,1960,6,23,6/23/1961,,,,,,,,| USA | Texas | Uvalde |  |  |  |,North America,,,,United States,US,Texas,,20.2 mi N. US 90 (Uvalde) on US 83,USA | Texas | Uvalde | 20.2 mi N. US 90 (Uvalde) on US 83,,,,,,,,,,,29.56619,-99.74547,NAD27,246,,,29.56619,-99.74547,degrees decimal minutes,,,,,,VertNet Georeferencing Guidelines,,requires verification,offset by rd on Hwy 83 from jct with Hwy 90 in Uvalde,,,,,,,,,,,,,,,,,,,,,,,2011,,,,,,Bufo nebulifer,,,,,Chordata | Amphibia | Anura | Bufonidae | Bufo |,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,nebulifer,,species,,,,ICZN,,,,,,,,,,,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),7a25f7aa-03fb-4322-aaeb-66719e1a9527,493fe050-055d-11d8-b84f-b8a03c50a862,rfeeney@nhm.org,Rick Feeney,10/3/2019,10/9/2019,10/3/2019,0,0,0,0,0,specimen,0
29.9603,-98.7481,Kendall,PhysicalObject,6/20/2019,https://creativecommons.org/publicdomain/zero/1.0,,http://vertnet.org/resources/norms.html,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Record ID: 942B35E0-DB0B-448A-AFCE-2C200ABA94D3. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),http://portal.vertnet.org/o/lacm/herps?id=942b35e0-db0b-448a-afce-2c200aba94d3,http://biocol.org/urn:lsid:biocol:org:34802,http://biocol.org/urn:lsid:biocol:org:34803,,LACM,Herps,LACM Vertebrates,PreservedSpecimen,,,,942B35E0-DB0B-448A-AFCE-2C200ABA94D3,125392,CSL 3825,UCLA Class,1,,,,,,present,,,,,,,,Gonad Histology Slide available by Stephen Goldberg,,,,,,,,,,,4/13/1976,,104,104,1976,1970,4,13,13-20 Apr 1976,,,,,,,,| USA | Texas | Kendall |  |  |  |,North America,,,,United States,US,Texas,,"14 km NNE Boerne, Alzafar Camp","USA | Texas | Kendall | 14 km NNE Boerne, Alzafar Camp",425,370,370-425,,,,,,,,29.89663,-98.65515,NAD27,842,,,29.89663,-98.65515,degrees decimal minutes,,,,,,VertNet Georeferencing Guidelines,,requires verification,georef at approx center of Camp Alzafar proper; extent includes area on property where most of the collections were made,,,,,,,,,,,,,,,,,,,,,,,2011,,,,,,Bufo nebulifer,,,,,Chordata | Amphibia | Anura | Bufonidae | Bufo |,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,nebulifer,,species,,,,ICZN,,,,,,,,,,,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),7a25f7aa-03fb-4322-aaeb-66719e1a9527,493fe050-055d-11d8-b84f-b8a03c50a862,rfeeney@nhm.org,Rick Feeney,10/3/2019,10/9/2019,10/3/2019,0,0,0,0,0,specimen,0
29.3343,-99.8125,Uvalde,PhysicalObject,6/20/2019,https://creativecommons.org/publicdomain/zero/1.0,,http://vertnet.org/resources/norms.html,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Record ID: BD932757-FE37-495D-BA5E-44736B8A040F. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),http://portal.vertnet.org/o/lacm/herps?id=bd932757-fe37-495d-ba5e-44736b8a040f,http://biocol.org/urn:lsid:biocol:org:34802,http://biocol.org/urn:lsid:biocol:org:34803,,LACM,Herps,LACM Vertebrates,PreservedSpecimen,,,,BD932757-FE37-495D-BA5E-44736B8A040F,64165,DRP 1675,D.R. Paulson,1,,,,,,present,,,,,,,,Gonad Histology Slide available by Stephen Goldberg,,,,,,,,,,,6/23/1961,,174,174,1961,1960,6,23,6/23/1961,,,,,,,,| USA | Texas | Uvalde |  |  |  |,North America,,,,United States,US,Texas,,25.8 mi N. US 90 (Uvalde) on US 83,USA | Texas | Uvalde | 25.8 mi N. US 90 (Uvalde) on US 83,,,,,,,,,,,29.6428,-99.75568,NAD27,246,,,29.6428,-99.75568,degrees decimal minutes,,,,,,VertNet Georeferencing Guidelines,,requires verification,georef in REAL County; offset by rd on Hwy 83 from jct with Hwy 90 in Uvalde,,,,,,,,,,,,,,,,,,,,,,,2011,,,,,,Bufo nebulifer,,,,,Chordata | Amphibia | Anura | Bufonidae | Bufo |,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,nebulifer,,species,,,,ICZN,,,,,,,,,,,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),7a25f7aa-03fb-4322-aaeb-66719e1a9527,493fe050-055d-11d8-b84f-b8a03c50a862,rfeeney@nhm.org,Rick Feeney,10/3/2019,10/9/2019,10/3/2019,0,0,0,0,0,specimen,0
