County Latitude,County Longitude,county,type,modified,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,occurrenceid,catalognumber,recordnumber,recordedby,individualcount,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,othercatalognumbers,occurrenceremarks,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,materialsampleid,eventid,fieldnumber,eventdate,eventtime,startdayofyear,enddayofyear,year,decade,month,day,verbatimeventdate,habitat,samplingprotocol,samplingeffort,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,municipality,locality,verbatimlocality,minimumelevationinmeters,maximumelevationinmeters,verbatimelevation,minimumdepthinmeters,maximumdepthinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,coordinateprecision,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,footprintwkt,footprintsrs,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identificationqualifier,typestatus,identifiedby,dateidentified,identificationreferences,identificationverificationstatus,identificationremarks,scientificnameid,namepublishedinid,scientificname,acceptednameusage,originalnameusage,namepublishedin,namepublishedinyear,higherclassification,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,taxonremarks,lengthinmm,lengthtype,lengthunitsinferred,massing,massunitsinferred,underivedlifestage,underivedsex,dataset_url,dataset_citation,gbifdatasetid,gbifpublisherid,dataset_contact_email,dataset_contact,dataset_pubdate,lastindexed,migrator_version,hasmedia,hastissue,wascaptive,isfossil,isarch,vntype,haslength
30.6504,-96.3226,Brazos,PhysicalObject,24:26.0,CC0,,http://vertnet.org/resources/norms.html,"Monte L. Bean Museum, Brigham Young University. BYU Herpetology Collection. Record ID: b057dae6-036c-11e3-aa63-0050568c7165. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=byu_herps (source published on 2019-03-21)",http://portal.vertnet.org/o/byu/main?id=b057dae6-036c-11e3-aa63-0050568c7165,http://grbio.org/cool/0am8-rdhc,,,BYU,Main,BYU Monte L. Bean Museum Herpetology Collection,PreservedSpecimen,,,,b057dae6-036c-11e3-aa63-0050568c7165,40349,,"Klett, Van",,,,,,,present,OK - 1,,,,,,,,,,,,,,,,,,4/20/1956,,111,111,1956,1950,4,20,20-Apr-56,,,,,,,,North America | United States | Texas | Brazos |  |  |  |,North America,,,,United States,US,Texas,,10 miles W College Station.,North America | United States | TEXAS | Brazos | 10 miles W College Station.,,,,,,,,,,,30.627671,-96.502868,not recorded (forced WGS84),21145,,0,,,,,,,,,,,requires verification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phrynosoma cornutum,,,,,|  | Reptilia | Squamata | PHRYNOSOMATIDAE | Phrynosoma,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Phrynosoma,,cornutum,,species,,,,ICZN,,,,,,,,,,,"Monte L. Bean Museum, Brigham Young University. BYU Herpetology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=byu_herps (source published on 2019-03-21)",847aa410-f762-11e1-a439-00145eb45e9a,fd70f580-4ce2-11db-b80e-b8a03c50a862,Jack_Sites@byu.edu,Jack Sites,3/21/2019,3/22/2019,11/3/2018,0,0,0,0,0,specimen,0
29.663,-103.3587,Brewster,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:189999. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-189999,CAS,,,CAS,HERP,,PreservedSpecimen,,,,urn:catalog:CAS:HERP:189999,189999,,J. Boundy,,,Adult,,,,,Alcohol,,,,,,,San Jose State University Collection.,,,,,,,,,,,6/5/1978,,156,156,1978,1970,6,5,5-Jun-78,,,,,,,,North America; USA; Texas; Brewster Co.,North America,,,,USA,,Texas,,"Hwy 118, 15 mi S of Alpine","15 mi. So. of Alpine on hwy 118, 5000' elev., Brewster Co., Tex.",1524.003048,,5000 ft,,,,,,,,30.1936,-103.58072,WGS84,6119,,,,,DM,,,,,,,GPS,,"Offset by rd on Hwy 118 from highway center of Alpine (=on Hwy 118, 0.14 mi N jct with Hwy 90 westbound); GPS measurement accuracy = 18 ft",,,,,,,,,,,,,,,,,,,,,,J.F. Boundy,8/25/1992,,,,,,Phrynosoma cornutum,,,,,Animalia; Chordata; Reptilia; Sauria; Phrynosomatidae,Animalia,Chordata,Reptilia,Sauria,Phrynosomatidae,Phrynosoma,,cornutum,,,,,,,,,,,,,,Adult,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
29.8688,-101.1617,Val Verde,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:203854. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-203854,CAS,,,CAS,HERP,,PreservedSpecimen,,,,urn:catalog:CAS:HERP:203854,203854,,A.W. Ford and W.P. Hutchins,,,Adult,,,,,Alcohol,,,,,,,San Jose State University Collection.,,,,,,,,,,,6/23/1986,,174,174,1986,1980,6,23,23-Jun-86,,,,,,,,North America; USA; Texas; Val Verde Co.,North America,,,,USA,,Texas,,"Hwy 90, 10 mi W of Langtry","hwy 90, 10 mi. W of Langtry, Val Verde Co., Tex.",,,,,,,,,,,29.86378,-101.7046,WGS84,2257,,,,,DM,,,,,,,GPS,,"Offset by rd via Hwy 25, then on Hwy 90, from highway center of Langtry (=on Hwy 25 in front of Roy Bean Visitor Center)",,,,,,,,,,,,,,,,,,,,,,J.F. Boundy,,,,,,,Phrynosoma cornutum,,,,,Animalia; Chordata; Reptilia; Sauria; Phrynosomatidae,Animalia,Chordata,Reptilia,Sauria,Phrynosomatidae,Phrynosoma,,cornutum,,,,,,,,,,,,,,Adult,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
31.8246,-102.5298,Ector,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUR:9721. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sur?id=urn-catalog-cas-sur-9721,SUR,,,CAS,SUR,,PreservedSpecimen,,,,urn:catalog:CAS:SUR:9721,9721,ESH-42-32,E.S. Herald,,,,,,,,Alcohol,,,,,,,Notably more yellow than those from Ft. Stockton.,,,,,,,,,,,5/5/1942,,125,125,1942,1940,5,5,5-May-42,,,,,,,,North America; USA; Texas; Ector Co.,North America,,,,USA,,Texas,,Odessa,"Odessa, Texas  2700' approx.",822.9616459,,ca 2700 ft,,,,,,,,31.86002,-102.37753,NAD27,12912,,,,,DM,,,,,,,"USGS 1:24,000",,Georeferenced at designated center of Odessa (= Jct Hwy 385 and Spur Hwy 450); elevation ignored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phrynosoma cornutum,,,,,Animalia; Chordata; Reptilia; Sauria; Phrynosomatidae,Animalia,Chordata,Reptilia,Sauria,Phrynosomatidae,Phrynosoma,,cornutum,,,,,,,,,,,,,,,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
29.663,-103.3587,Brewster,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUR:9723. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sur?id=urn-catalog-cas-sur-9723,SUR,,,CAS,SUR,,PreservedSpecimen,,,,urn:catalog:CAS:SUR:9723,9723,ESH-42-8,E.S. Herald,,,,,,,,Alcohol,,,,,,,,,,,,,,,,,,4/17/1942,,107,107,1942,1940,4,17,17-Apr-42,,,,,,,,North America; USA; Texas; Brewster Co.,North America,,,,USA,,Texas,,Marathon,"Marathon, Brewster Co., Texas  4000'",1219.202438,,4000 ft,,,,,,,,30.20576,-103.24254,NAD27,1808,,,,,DM,,,,,,,"USGS 1:24,000",,Georeferenced at highway center of Marathon (= jct Hwy 90 and Ave F),,,,,,,,,,,,,,,,,,,,,,T.P. Maslin,1/1/1941,,,,,,Phrynosoma cornutum,,,,,Animalia; Chordata; Reptilia; Sauria; Phrynosomatidae,Animalia,Chordata,Reptilia,Sauria,Phrynosomatidae,Phrynosoma,,cornutum,,,,,,,,,,,,,,,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
29.663,-103.3587,Brewster,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUR:9724. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sur?id=urn-catalog-cas-sur-9724,SUR,,,CAS,SUR,,PreservedSpecimen,,,,urn:catalog:CAS:SUR:9724,9724,ESH-42-9,E.S. Herald,,,,,,,,Alcohol,,,,,,,,,,,,,,,,,,4/17/1942,,107,107,1942,1940,4,17,17-Apr-42,,,,,,,,North America; USA; Texas; Brewster Co.,North America,,,,USA,,Texas,,Marathon,"Marathon, Brewster Co., Texas  4000'",1219.202438,,4000 ft,,,,,,,,30.20576,-103.24254,NAD27,1808,,,,,DM,,,,,,,"USGS 1:24,000",,Georeferenced at highway center of Marathon (= jct Hwy 90 and Ave F),,,,,,,,,,,,,,,,,,,,,,T.P. Maslin,1/1/1941,,,,,,Phrynosoma cornutum,,,,,Animalia; Chordata; Reptilia; Sauria; Phrynosomatidae,Animalia,Chordata,Reptilia,Sauria,Phrynosomatidae,Phrynosoma,,cornutum,,,,,,,,,,,,,,,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
30.8253,-102.6216,Pecos,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUR:9726. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sur?id=urn-catalog-cas-sur-9726,SUR,,,CAS,SUR,,PreservedSpecimen,,,,urn:catalog:CAS:SUR:9726,9726,ESH-42-22,E.S. Herald,,,,,,,,Alcohol,,,,,,,,,,,,,,,,,,4/24/1942,,114,114,1942,1940,4,24,24-Apr-42,,,,,,,,North America; USA; Texas; Pecos Co.,North America,,,,USA,,Texas,,Ft. Stockton,"Fort Stockton, Pecos Co., Texas  2900'",883.9217678,,2900 ft,,,,,,,,30.8904,-102.88303,NAD27,3900,,,,,DM,,,,,,,"USGS 1:24,000",,"Georeferenced at geographic center of Ft Stockton (= on Valentine Street, just N jct with 6th Street)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phrynosoma cornutum,,,,,Animalia; Chordata; Reptilia; Sauria; Phrynosomatidae,Animalia,Chordata,Reptilia,Sauria,Phrynosomatidae,Phrynosoma,,cornutum,,,,,,,,,,,,,,,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
30.8253,-102.6216,Pecos,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUR:9727. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sur?id=urn-catalog-cas-sur-9727,SUR,,,CAS,SUR,,PreservedSpecimen,,,,urn:catalog:CAS:SUR:9727,9727,ESH-42-22,E.S. Herald,,,,,,,,Alcohol,,,,,,,,,,,,,,,,,,4/24/1942,,114,114,1942,1940,4,24,24-Apr-42,,,,,,,,North America; USA; Texas; Pecos Co.,North America,,,,USA,,Texas,,Ft. Stockton,"Fort Stockton, Pecos Co., Texas  2900'",883.9217678,,2900 ft,,,,,,,,30.8904,-102.88303,NAD27,3900,,,,,DM,,,,,,,"USGS 1:24,000",,"Georeferenced at geographic center of Ft Stockton (= on Valentine Street, just N jct with 6th Street)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phrynosoma cornutum,,,,,Animalia; Chordata; Reptilia; Sauria; Phrynosomatidae,Animalia,Chordata,Reptilia,Sauria,Phrynosomatidae,Phrynosoma,,cornutum,,,,,,,,,,,,,,,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
30.8253,-102.6216,Pecos,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUR:9729. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sur?id=urn-catalog-cas-sur-9729,SUR,,,CAS,SUR,,PreservedSpecimen,,,,urn:catalog:CAS:SUR:9729,9729,ESH-42-22,E.S. Herald,,,,,,,,Alcohol,,,,,,,,,,,,,,,,,,4/24/1942,,114,114,1942,1940,4,24,24-Apr-42,,,,,,,,North America; USA; Texas; Pecos Co.,North America,,,,USA,,Texas,,Ft. Stockton,"Fort Stockton, Pecos Co., Texas  2900'",883.9217678,,2900 ft,,,,,,,,30.8904,-102.88303,NAD27,3900,,,,,DM,,,,,,,"USGS 1:24,000",,"Georeferenced at geographic center of Ft Stockton (= on Valentine Street, just N jct with 6th Street)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phrynosoma cornutum,,,,,Animalia; Chordata; Reptilia; Sauria; Phrynosomatidae,Animalia,Chordata,Reptilia,Sauria,Phrynosomatidae,Phrynosoma,,cornutum,,,,,,,,,,,,,,,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
30.8253,-102.6216,Pecos,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUR:9731. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sur?id=urn-catalog-cas-sur-9731,SUR,,,CAS,SUR,,PreservedSpecimen,,,,urn:catalog:CAS:SUR:9731,9731,ESH-42-22,E.S. Herald,,,,,,,,Alcohol,,,,,,,,,,,,,,,,,,4/24/1942,,114,114,1942,1940,4,24,24-Apr-42,,,,,,,,North America; USA; Texas; Pecos Co.,North America,,,,USA,,Texas,,Ft. Stockton,"Fort Stockton, Pecos Co., Texas  2900'",883.9217678,,2900 ft,,,,,,,,30.8904,-102.88303,NAD27,3900,,,,,DM,,,,,,,"USGS 1:24,000",,"Georeferenced at geographic center of Ft Stockton (= on Valentine Street, just N jct with 6th Street)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phrynosoma cornutum,,,,,Animalia; Chordata; Reptilia; Sauria; Phrynosomatidae,Animalia,Chordata,Reptilia,Sauria,Phrynosomatidae,Phrynosoma,,cornutum,,,,,,,,,,,,,,,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
