County Latitude,County Longitude,county,type,modified,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,occurrenceid,catalognumber,recordnumber,recordedby,individualcount,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,othercatalognumbers,occurrenceremarks,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,materialsampleid,eventid,fieldnumber,eventdate,eventtime,startdayofyear,enddayofyear,year,decade,month,day,verbatimeventdate,habitat,samplingprotocol,samplingeffort,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,municipality,locality,verbatimlocality,minimumelevationinmeters,maximumelevationinmeters,verbatimelevation,minimumdepthinmeters,maximumdepthinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,coordinateprecision,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,footprintwkt,footprintsrs,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identificationqualifier,typestatus,identifiedby,dateidentified,identificationreferences,identificationverificationstatus,identificationremarks,scientificnameid,namepublishedinid,scientificname,acceptednameusage,originalnameusage,namepublishedin,namepublishedinyear,higherclassification,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,taxonremarks,lengthinmm,lengthtype,lengthunitsinferred,massing,massunitsinferred,underivedlifestage,underivedsex,dataset_url,dataset_citation,gbifdatasetid,gbifpublisherid,dataset_contact_email,dataset_contact,dataset_pubdate,lastindexed,migrator_version,hasmedia,hastissue,wascaptive,isfossil,isarch,vntype,haslength
30.2349,-102.1633,Terrell,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:163063. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-163063,CAS,,,CAS,HERP,,PreservedSpecimen,,,,urn:catalog:CAS:HERP:163063,163063,DLJ-324,"L.F. Garza, L.B. Dove and A.J. Carlisle",,,Adult,,,,,Alcohol,,,,,,,,,,,,,,,,,,6/8/1982,,159,159,1982,1980,6,8,8-Jun-82,,,,,,,,North America; USA; Texas; Terrell Co.,North America,,,,USA,,Texas,,,"Texas, Terrell Co.",,,,,,,,,,,30.20417,-102.06002,NAD27,108197,,,,,DM,,,,,,,"USGS 1:250,000",,Georeferenced at approx geographic center of County,,,,,,,,,,,,,,,,,,,,,,D.L. Jameson,6/10/1987,,,,,,Bufo punctatus,,,,,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,punctatus,,,,,,,,,,,,,,Adult,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
30.2349,-102.1633,Terrell,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:163064. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-163064,CAS,,,CAS,HERP,,PreservedSpecimen,,,,urn:catalog:CAS:HERP:163064,163064,DLJ-325,"L.F. Garza, L.B. Dove and A.J. Carlisle",,,Adult,,,,,Alcohol,,,,,,,,,,,,,,,,,,6/8/1982,,159,159,1982,1980,6,8,8-Jun-82,,,,,,,,North America; USA; Texas; Terrell Co.,North America,,,,USA,,Texas,,,"Texas, Terrell Co.",,,,,,,,,,,30.20417,-102.06002,NAD27,108197,,,,,DM,,,,,,,"USGS 1:250,000",,Georeferenced at approx geographic center of County,,,,,,,,,,,,,,,,,,,,,,D.L. Jameson,6/10/1987,,,,,,Bufo punctatus,,,,,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,punctatus,,,,,,,,,,,,,,Adult,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
31.804,-106.2051,El Paso,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:175652. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-175652,CAS,,,CAS,HERP,,PreservedSpecimen,,,,urn:catalog:CAS:HERP:175652,175652,,S. Cutler,,,Juv,,,,,Alcohol,,,,,,,,,,,,,,,,,,9/17/1988,,261,261,1988,1980,9,17,17-Sep-88,,,,,,,,North America; USA; Texas; El Paso Co.,North America,,,,USA,,Texas,,"El Paso, pond E of check dam, ca 0.25 mi E of ArtCraft and Northwestern Streets","pond east of check dam ca 1/4 mi E. of ArtCraft and Northwestern Sts., El Paso, Texas",,,,,,,,,,,31.76783,-106.486,WGS84,186,,,,,DM,,,,,,,Street Maps,,,,,,,,,,,,,,,,,,,,,,,,J.V. Vindum,8/27/1990,,,,,,Bufo punctatus,,,,,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,punctatus,,,,,,,,,,,,,,Juv,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
31.804,-106.2051,El Paso,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:175653. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-175653,CAS,,,CAS,HERP,,PreservedSpecimen,,,,urn:catalog:CAS:HERP:175653,175653,,S. Cutler,,,Juv,,,,,Alcohol,,,,,,,,,,,,,,,,,,9/17/1988,,261,261,1988,1980,9,17,17-Sep-88,,,,,,,,North America; USA; Texas; El Paso Co.,North America,,,,USA,,Texas,,"El Paso, pond E of check dam, ca 0.25 mi E of ArtCraft and Northwestern Streets","pond east of check dam ca 1/4 mi E. of ArtCraft and Northwestern Sts., El Paso, Texas",,,,,,,,,,,31.76783,-106.486,WGS84,186,,,,,DM,,,,,,,Street Maps,,,,,,,,,,,,,,,,,,,,,,,,J.V. Vindum,8/27/1990,,,,,,Bufo punctatus,,,,,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,punctatus,,,,,,,,,,,,,,Juv,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
31.4308,-103.7289,Reeves,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUA:2966. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sua?id=urn-catalog-cas-sua-2966,SUA,,,CAS,SUA,,PreservedSpecimen,,,,urn:catalog:CAS:SUA:2966,2966,211,G.M. Kranzthor and G.S. Myers,,,,,,,,Alcohol,,,,,,,,,,,,,,,,,,5/8/1929,,128,128,1929,1920,5,8,8-May-29,,,,,,,,North America; USA; Texas; Reeves Co.,North America,,,,USA,,Texas,,Balmorhea,"Balmorhea, Reeves County, Texas.",,,,,,,,,,,30.9861,-103.7444,NAD27,1486,,,,,DM,,,,,,,"USGS 1:24,000",,"Georeferenced at highway center of Balmorhea (= on Hwy 17/old Hwy 290, 1 block west jct with Hwy 2903)",,,,,,,,,,,,,,,,,,,,,,G.S. Myers,1/1/1929,,,,,,Bufo punctatus,,,,,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,punctatus,,,,,,,,,,,,,,,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
30.7508,-104.1931,Jeff Davis,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUA:4479. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sua?id=urn-catalog-cas-sua-4479,SUA,,,CAS,SUA,,PreservedSpecimen,,,,urn:catalog:CAS:SUA:4479,4479,287,G.M. Kranzthor and G.S. Myers,,,,,,,,Alcohol,,,,,,,,,,,,,,,,,,5/20/1929,,140,140,1929,1920,5,20,20-May-29,,,,,,,,North America; USA; Texas; Jeff Davis Co.,North America,,,,USA,,Texas,,"Davis Mts., Fishers Ranch","Fishers Ranch, Davis Mts., Texas",,,,,,,,,,,30.70818,-104.09634,NAD27,520,,,,,DM,,,,,,,"USGS 1:24,000",,,,,,,,,,,,,,,,,,,,,,,,G.S. Myers,10/30/1939,,,,,,Bufo punctatus,,,,,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,punctatus,,,,,,,,,,,,,,,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
30.7508,-104.1931,Jeff Davis,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUA:4482. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sua?id=urn-catalog-cas-sua-4482,SUA,,,CAS,SUA,,PreservedSpecimen,,,,urn:catalog:CAS:SUA:4482,4482,290,G.M. Kranzthor and G.S. Myers,,,,,,,,Alcohol,,,,,,,,,,,,,,,,,,5/20/1929,,140,140,1929,1920,5,20,20-May-29,,,,,,,,North America; USA; Texas; Jeff Davis Co.,North America,,,,USA,,Texas,,"Davis Mts., Fishers Ranch","Fishers Ranch, Davis Mts., Texas",,,,,,,,,,,30.70818,-104.09634,NAD27,520,,,,,DM,,,,,,,"USGS 1:24,000",,,,,,,,,,,,,,,,,,,,,,,,G.S. Myers,10/30/1939,,,,,,Bufo punctatus,,,,,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,punctatus,,,,,,,,,,,,,,,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
30.7508,-104.1931,Jeff Davis,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUA:4483. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sua?id=urn-catalog-cas-sua-4483,SUA,,,CAS,SUA,,PreservedSpecimen,,,,urn:catalog:CAS:SUA:4483,4483,291,G.M. Kranzthor and G.S. Myers,,,,,,,,Alcohol,,,,,,,,,,,,,,,,,,5/20/1929,,140,140,1929,1920,5,20,20-May-29,,,,,,,,North America; USA; Texas; Jeff Davis Co.,North America,,,,USA,,Texas,,"Davis Mts., Fishers Ranch","Fishers Ranch, Davis Mts., Texas",,,,,,,,,,,30.70818,-104.09634,NAD27,520,,,,,DM,,,,,,,"USGS 1:24,000",,,,,,,,,,,,,,,,,,,,,,,,G.S. Myers,10/30/1939,,,,,,Bufo punctatus,,,,,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,punctatus,,,,,,,,,,,,,,,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
31.8508,-97.6982,Bosque,PhysicalObject,8/15/2017,https://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,Carnegie Museum of Natural History. CM Herps Collection. Record ID: urn:catalog:CM:Herps:2216. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27),http://portal.vertnet.org/o/cm/herps?id=urn-catalog-cm-herps-2216,urn:lsid:biocol.org:col:34702,,,CM,Herps,,PreservedSpecimen,,,,urn:catalog:CM:Herps:2216,2216,,"ATKINSON, DANIEL A AND GUSTAV A LINK",1,,,,,,present,whole animal in alcohol,,,,,,,,,,,,,,,,,,5/31/1907,,151,151,1907,1900,5,31,5/31/1907,,,,,,,,NORTH AMERICA | UNITED STATES | TEXAS | BOSQUE |  |  |  |,North America,,,,United States,US,Texas,,CLIFTON,North America | United States | Texas | Bosque | CLIFTON,,,,,,,,,,,31.78,-97.58,NAD27,1378,,,,,decimal degrees,,,,,,VertNet Georeferencing Guidelines,,requires verification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUFO PUNCTATUS,,,,,Animalia | Chordata | Amphibia | Anura | BUFONIDAE | BUFO,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,punctatus,,species,,,,ICZN,,,,,,,,,,,Carnegie Museum of Natural History. CM Herps Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27),76dd8f0d-2daa-4a69-9fcd-55e04230334a,c1da06f0-580e-11dc-8a9e-b8a03c50a862,rogerss@carnegiemnh.org,Stephen Rogers,9/27/2017,10/19/2017,9/5/2015,0,0,0,0,,specimen,0
31.8508,-97.6982,Bosque,PhysicalObject,8/15/2017,https://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,Carnegie Museum of Natural History. CM Herps Collection. Record ID: urn:catalog:CM:Herps:2218. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27),http://portal.vertnet.org/o/cm/herps?id=urn-catalog-cm-herps-2218,urn:lsid:biocol.org:col:34702,,,CM,Herps,,PreservedSpecimen,,,,urn:catalog:CM:Herps:2218,2218,,"ATKINSON, DANIEL A AND GUSTAV A LINK",1,,,,,,present,whole animal in alcohol,,,,,,,,,,,,,,,,,,5/31/1907,,151,151,1907,1900,5,31,5/31/1907,,,,,,,,NORTH AMERICA | UNITED STATES | TEXAS | BOSQUE |  |  |  |,North America,,,,United States,US,Texas,,CLIFTON,North America | United States | Texas | Bosque | CLIFTON,,,,,,,,,,,31.78,-97.58,NAD27,1378,,,,,decimal degrees,,,,,,VertNet Georeferencing Guidelines,,requires verification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUFO PUNCTATUS,,,,,Animalia | Chordata | Amphibia | Anura | BUFONIDAE | BUFO,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,punctatus,,species,,,,ICZN,,,,,,,,,,,Carnegie Museum of Natural History. CM Herps Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27),76dd8f0d-2daa-4a69-9fcd-55e04230334a,c1da06f0-580e-11dc-8a9e-b8a03c50a862,rogerss@carnegiemnh.org,Stephen Rogers,9/27/2017,10/19/2017,9/5/2015,0,0,0,0,,specimen,0
