County Latitude,County Longitude,county,type,modified,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,occurrenceid,catalognumber,recordnumber,recordedby,individualcount,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,othercatalognumbers,occurrenceremarks,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,materialsampleid,eventid,fieldnumber,eventdate,eventtime,startdayofyear,enddayofyear,year,decade,month,day,verbatimeventdate,habitat,samplingprotocol,samplingeffort,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,municipality,locality,verbatimlocality,minimumelevationinmeters,maximumelevationinmeters,verbatimelevation,minimumdepthinmeters,maximumdepthinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,coordinateprecision,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,footprintwkt,footprintsrs,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identificationqualifier,typestatus,identifiedby,dateidentified,identificationreferences,identificationverificationstatus,identificationremarks,scientificnameid,namepublishedinid,scientificname,acceptednameusage,originalnameusage,namepublishedin,namepublishedinyear,higherclassification,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,taxonremarks,lengthinmm,lengthtype,lengthunitsinferred,massing,massunitsinferred,underivedlifestage,underivedsex,dataset_url,dataset_citation,gbifdatasetid,gbifpublisherid,dataset_contact_email,dataset_contact,dataset_pubdate,lastindexed,migrator_version,hasmedia,hastissue,wascaptive,isfossil,isarch,vntype,haslength
31.7705,-98.9245,Brown,PhysicalObject,24:13.0,CC0,NA,http://vertnet.org/resources/norms.html,"Monte L. Bean Museum, Brigham Young University. BYU Herpetology Collection. Record ID: b022d922-036c-11e3-aa63-0050568c7165. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=byu_herps (source published on 2019-03-21)",http://portal.vertnet.org/o/byu/main?id=b022d922-036c-11e3-aa63-0050568c7165,http://grbio.org/cool/0am8-rdhc,NA,NA,BYU,Main,BYU Monte L. Bean Museum Herpetology Collection,PreservedSpecimen,NA,NA,NA,b022d922-036c-11e3-aa63-0050568c7165,40494,NA,"Carlisle, Robert L.",NA,NA,NA,NA,NA,NA,present,OK - 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/20/1956,NA,141,141,1956,1950,5,20,20-May-56,NA,NA,NA,NA,NA,NA,NA,NORTH AMERICA | UNITED STATES | TEXAS | BROWN |  |  |  |,North America,NA,NA,NA,United States,US,Texas,NA,"1 mile E Brownwood, Happy Hour Ranch.","North America | United States | TEXAS | Brown | 1 mile E Brownwood, Happy Hour Ranch.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.709169,-98.973769,not recorded (forced WGS84),12295,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,requires verification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crotaphytus collaris fuscus,NA,NA,NA,NA,|  | Reptilia | Squamata | CROTAPHYTIDAE | Crotaphytus,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,Crotaphytus,NA,collaris,fuscus,subspecies,NA,NA,NA,ICZN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monte L. Bean Museum, Brigham Young University. BYU Herpetology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=byu_herps (source published on 2019-03-21)",847aa410-f762-11e1-a439-00145eb45e9a,fd70f580-4ce2-11db-b80e-b8a03c50a862,Jack_Sites@byu.edu,Jack Sites,3/21/2019,3/22/2019,11/3/2018,0,0,0,0,0,specimen,0
29.8688,-101.1617,Val Verde,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:190028. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-190028,CAS,NA,NA,CAS,HERP,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:HERP:190028,190028,NA,J. Boundy and A.W. Ford,NA,NA,Adult,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,San Jose State University Collection.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/15/1987,NA,227,227,1987,1980,8,15,15-Aug-87,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; Val Verde Co.,North America,NA,NA,NA,USA,NA,Texas,NA,"Hwy 90, W shore of Amistad Reservoir","Hwy 90, W shore of Amistad Res., Val Verde Co., TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.49621,-101.0466,NAD27,2130,NA,NA,NA,NA,DM,NA,NA,NA,NA,NA,NA,"USGS 1:24,000",NA,"West shore of reservoir is in Mexico, not U.S.; georef at midpoint of west shore of middle reservoir portion most accessible from  Hwy 90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J.F. Boundy,8/25/1992,NA,NA,NA,NA,NA,Crotaphytus collaris,NA,NA,NA,NA,Animalia; Chordata; Reptilia; Sauria; Crotaphytidae,Animalia,Chordata,Reptilia,Sauria,Crotaphytidae,Crotaphytus,NA,collaris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
31.804,-106.2051,El Paso,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:39824. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-39824,CAS,NA,NA,CAS,HERP,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:HERP:39824,39824,307,J.I. Carlson,NA,NA,NA,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/30/1915,NA,120,120,1915,1910,4,30,30-Apr-15,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; El Paso Co.,North America,NA,NA,NA,USA,NA,Texas,NA,"El Paso, Ft. Bliss","Fort Bliss, El Paso Co. Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.82236261,-106.4244382,WGS84,32429,NA,NA,NA,NA,DM,NA,NA,NA,NA,NA,NA,Street Maps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crotaphytus collaris fuscus,NA,NA,NA,NA,Animalia; Chordata; Reptilia; Sauria; Crotaphytidae,Animalia,Chordata,Reptilia,Sauria,Crotaphytidae,Crotaphytus,NA,collaris,fuscus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
31.804,-106.2051,El Paso,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:39829. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-39829,CAS,NA,NA,CAS,HERP,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:HERP:39829,39829,312,J.I. Carlson,NA,NA,NA,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/4/1915,NA,124,124,1915,1910,5,4,4-May-15,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; El Paso Co.,North America,NA,NA,NA,USA,NA,Texas,NA,El Paso,"El Paso, El Paso Co. Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7909,-106.39468,NAD27,33293,NA,NA,NA,NA,DM,NA,NA,NA,NA,NA,NA,"USGS 1:100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crotaphytus collaris fuscus,NA,NA,NA,NA,Animalia; Chordata; Reptilia; Sauria; Crotaphytidae,Animalia,Chordata,Reptilia,Sauria,Crotaphytidae,Crotaphytus,NA,collaris,fuscus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
31.804,-106.2051,El Paso,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUR:8907. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sur?id=urn-catalog-cas-sur-8907,SUR,NA,NA,CAS,SUR,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:SUR:8907,8907,153,G.M. Kranzthor and G.S. Myers,NA,NA,NA,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/29/1929,NA,119,119,1929,1920,4,29,29-Apr-29,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; El Paso Co.,North America,NA,NA,NA,USA,NA,Texas,NA,El Paso,"El Paso, Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7909,-106.39468,NAD27,33293,NA,NA,NA,NA,DM,NA,NA,NA,NA,NA,NA,"USGS 1:100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J.V. Vindum,10/1/1982,NA,NA,NA,NA,NA,Crotaphytus collaris fuscus,NA,NA,NA,NA,Animalia; Chordata; Reptilia; Sauria; Crotaphytidae,Animalia,Chordata,Reptilia,Sauria,Crotaphytidae,Crotaphytus,NA,collaris,fuscus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
30.5599,-100.5296,Sutton,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUR:9870. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sur?id=urn-catalog-cas-sur-9870,SUR,NA,NA,CAS,SUR,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:SUR:9870,9870,JCM-137,J.C. Marr,NA,NA,NA,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,Stomach contents in separate vial.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/14/1942,NA,104,104,1942,1940,4,14,14-Apr-42,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; Sutton Co.,North America,NA,NA,NA,USA,NA,Texas,NA,5 mi SE Sonora,"5 mi. SE of Sonora, Sutton Co, Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.51715,-100.63887,NAD27,5284,NA,NA,NA,NA,DM,NA,NA,NA,NA,NA,NA,"USGS 1:100,000",NA,Offset by rd on Hwy 1691 from highway center of Sonora (= jct Main Street and Hwy 467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J.V. Vindum,3/1/1981,NA,NA,NA,NA,NA,Crotaphytus collaris collaris,NA,NA,NA,NA,Animalia; Chordata; Reptilia; Sauria; Crotaphytidae,Animalia,Chordata,Reptilia,Sauria,Crotaphytidae,Crotaphytus,NA,collaris,collaris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
31.8508,-97.6982,Bosque,PhysicalObject,8/15/2017,https://creativecommons.org/publicdomain/zero/1.0/,NA,http://vertnet.org/resources/norms.html,Carnegie Museum of Natural History. CM Herps Collection. Record ID: urn:catalog:CM:Herps:P206. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27),http://portal.vertnet.org/o/cm/herps?id=urn-catalog-cm-herps-p206,urn:lsid:biocol.org:col:34702,NA,NA,CM,Herps,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CM:Herps:P206,P206,NA,"ATKINSON, DANIEL A AND GUSTAV A LINK",1,NA,NA,NA,NA,NA,present,whole animal in alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/31/1907,NA,151,151,1907,1900,5,31,5/31/1907,NA,NA,NA,NA,NA,NA,NA,NORTH AMERICA | UNITED STATES | TEXAS | BOSQUE |  |  |  |,North America,NA,NA,NA,United States,US,Texas,NA,CLIFTON,North America | United States | Texas | Bosque | CLIFTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.78,-97.58,NAD27,1378,NA,NA,NA,NA,decimal degrees,NA,NA,NA,NA,NA,VertNet Georeferencing Guidelines,NA,requires verification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CROTAPHYTUS COLLARIS COLLARIS,NA,NA,NA,NA,Animalia | Chordata | Reptilia | Sauria | CROTAPHYTIDAE | CROTAPHYTUS,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,Crotaphytus,NA,collaris,collaris,subspecies,NA,NA,NA,ICZN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnegie Museum of Natural History. CM Herps Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27),76dd8f0d-2daa-4a69-9fcd-55e04230334a,c1da06f0-580e-11dc-8a9e-b8a03c50a862,rogerss@carnegiemnh.org,Stephen Rogers,9/27/2017,10/19/2017,9/5/2015,0,0,0,0,NA,specimen,0
31.804,-106.2051,El Paso,PhysicalObject,3/1/2018,https://creativecommons.org/publicdomain/zero/1.0/,NA,http://vertnet.org/resources/norms.html,Cornell University Museum of Vertebrates. CUMV Amphibian and Reptile Collection. Record ID: 4d7de9a8-5381-11e6-9649-a4a3446a4726. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_amph (source published on 2018-07-02),http://portal.vertnet.org/o/cumv/amph-rept?id=4d7de9a8-5381-11e6-9649-a4a3446a4726,http://grbio.org/cool/i64g-wjcr,http://grbio.org/cool/fra1-wrdm | http://grbio.org/cool/vg5r-57jw,NA,CUMV,Amph | Rept,NA,PreservedSpecimen,NA,NA,NA,4d7de9a8-5381-11e6-9649-a4a3446a4726,R-0000724,NA,Albert Hazen Wright; Col. M. L. Cummins,NA,NA,not recorded,NA,NA,NA,present,whole organism (unknown) - 2,NA,NA,NA,NA,NA,NA,2 specimens and 4 spec.,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHW 1925JUL14-19,7/14/1925,NA,195,195,1925,1920,7,14,1925-07-14-1925-07-19,NA,NA,NA,NA,NA,NA,NA,North America | United States | Texas | El Paso County |  |  |  |,North America,NA,NA,NA,United States,US,Texas,NA,El Paso,North America | United States | Texas | El Paso County | El Paso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.791008,-106.3952407,NAD27,33293,NA,NA,NA,NA,NA,NA,NA,NA,Agent Man Secret,2/4/2006,NA,NA,requires verification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crotaphytus collaris collaris,NA,NA,NA,NA,Animalia | Chordata | Reptilia | Squamata | Iguanidae | Crotaphytus,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,Crotaphytus,NA,collaris,collaris,subspecies,NA,NA,NA,ICZN,NA,NA,NA,NA,NA,NA,NA,not recorded,NA,NA,Cornell University Museum of Vertebrates. CUMV Amphibian and Reptile Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_amph (source published on 2018-07-02),a8ee9bc6-5914-427d-9fba-f8545250ac34,cf9ceb80-9f3d-11da-b791-b8a03c50a862,cbd63@cornell.edu,Casey Dillman,7/2/2018,7/3/2018,1/8/2018,0,0,0,0,0,specimen,0
29.663,-103.3587,Brewster,PhysicalObject,6/20/2019,https://creativecommons.org/publicdomain/zero/1.0,NA,http://vertnet.org/resources/norms.html,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Record ID: 20EFFACF-90A6-4266-8470-2F5163F14E15. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),http://portal.vertnet.org/o/lacm/herps?id=20effacf-90a6-4266-8470-2f5163f14e15,http://biocol.org/urn:lsid:biocol:org:34802,http://biocol.org/urn:lsid:biocol:org:34803,NA,LACM,Herps,LACM Vertebrates,PreservedSpecimen,NA,NA,NA,20EFFACF-90A6-4266-8470-2F5163F14E15,94670,WJW 720801-1,W.J. Wrenn,1,NA,NA,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,DOR (R.C. Stephens),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/1/1972,NA,214,214,1972,1970,8,1,8/1/1972,NA,NA,NA,NA,NA,NA,NA,| USA | Texas | Brewster |  |  |  |,North America,NA,NA,NA,United States,US,Texas,NA,"Big Bend Nat'l Park Picnic area, 1.5 mi NW Rio Grande Village","USA | Texas | Brewster | Big Bend Nat'l Park Picnic area, 1.5 mi NW Rio Grande Village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.18602,-102.97266,NAD27,520,NA,NA,29.18602,-102.97266,degrees decimal minutes,NA,NA,NA,NA,NA,VertNet Georeferencing Guidelines,NA,requires verification,georef at picnic area near old Daniels Ranch; offset more at W than NW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crotaphytus collaris,NA,NA,NA,NA,Chordata | Reptilia | Sauria | Iguanidae | Crotaphytus |,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,Crotaphytus,NA,collaris,NA,species,NA,NA,NA,ICZN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),7a25f7aa-03fb-4322-aaeb-66719e1a9527,493fe050-055d-11d8-b84f-b8a03c50a862,rfeeney@nhm.org,Rick Feeney,10/3/2019,10/9/2019,10/3/2019,0,0,0,0,0,specimen,0
29.8688,-101.1617,Val Verde,PhysicalObject,6/20/2019,https://creativecommons.org/publicdomain/zero/1.0,NA,http://vertnet.org/resources/norms.html,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Record ID: 224EE919-CC3D-42B6-B455-525C6B476EE6. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),http://portal.vertnet.org/o/lacm/herps?id=224ee919-cc3d-42b6-b455-525c6b476ee6,http://biocol.org/urn:lsid:biocol:org:34802,http://biocol.org/urn:lsid:biocol:org:34803,NA,LACM,Herps,LACM Vertebrates,PreservedSpecimen,NA,NA,NA,224EE919-CC3D-42B6-B455-525C6B476EE6,66467,336,R.D. Worthington,1,NA,NA,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/16/1959,NA,167,167,1959,1950,6,16,6/16/1959,NA,NA,NA,NA,NA,NA,NA,| USA | Texas | Val Verde |  |  |  |,North America,NA,NA,NA,United States,US,Texas,NA,"N.W. of Del Rio, Devil River & U.S. #90","USA | Texas | Val Verde | N.W. of Del Rio, Devil River & U.S. #90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.48547,-100.99711,NAD27,396,NA,NA,29.48547,-100.99711,degrees decimal minutes,NA,NA,NA,NA,NA,VertNet Georeferencing Guidelines,NA,requires verification,"georef at pre-reservoir Hwy 90 bridge, from 1944 edition map",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crotaphytus collaris,NA,NA,NA,NA,Chordata | Reptilia | Sauria | Iguanidae | Crotaphytus |,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,Crotaphytus,NA,collaris,NA,species,NA,NA,NA,ICZN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),7a25f7aa-03fb-4322-aaeb-66719e1a9527,493fe050-055d-11d8-b84f-b8a03c50a862,rfeeney@nhm.org,Rick Feeney,10/3/2019,10/9/2019,10/3/2019,0,0,0,0,0,specimen,0
