County Latitude,County Longitude,county,type,modified,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,occurrenceid,catalognumber,recordnumber,recordedby,individualcount,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,othercatalognumbers,occurrenceremarks,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,materialsampleid,eventid,fieldnumber,eventdate,eventtime,startdayofyear,enddayofyear,year,decade,month,day,verbatimeventdate,habitat,samplingprotocol,samplingeffort,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,municipality,locality,verbatimlocality,minimumelevationinmeters,maximumelevationinmeters,verbatimelevation,minimumdepthinmeters,maximumdepthinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,coordinateprecision,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,footprintwkt,footprintsrs,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identificationqualifier,typestatus,identifiedby,dateidentified,identificationreferences,identificationverificationstatus,identificationremarks,scientificnameid,namepublishedinid,scientificname,acceptednameusage,originalnameusage,namepublishedin,namepublishedinyear,higherclassification,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,taxonremarks,lengthinmm,lengthtype,lengthunitsinferred,massing,massunitsinferred,underivedlifestage,underivedsex,dataset_url,dataset_citation,gbifdatasetid,gbifpublisherid,dataset_contact_email,dataset_contact,dataset_pubdate,lastindexed,migrator_version,hasmedia,hastissue,wascaptive,isfossil,isarch,vntype,haslength
30.2349,-102.1633,Terrell,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:163063. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-163063,CAS,NA,NA,CAS,HERP,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:HERP:163063,163063,DLJ-324,"L.F. Garza, L.B. Dove and A.J. Carlisle",NA,NA,Adult,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/8/1982,NA,159,159,1982,1980,6,8,8-Jun-82,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; Terrell Co.,North America,NA,NA,NA,USA,NA,Texas,NA,NA,"Texas, Terrell Co.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.20417,-102.06002,NAD27,108197,NA,NA,NA,NA,DM,NA,NA,NA,NA,NA,NA,"USGS 1:250,000",NA,Georeferenced at approx geographic center of County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D.L. Jameson,6/10/1987,NA,NA,NA,NA,NA,Bufo punctatus,NA,NA,NA,NA,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,punctatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
30.2349,-102.1633,Terrell,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:163064. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-163064,CAS,NA,NA,CAS,HERP,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:HERP:163064,163064,DLJ-325,"L.F. Garza, L.B. Dove and A.J. Carlisle",NA,NA,Adult,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/8/1982,NA,159,159,1982,1980,6,8,8-Jun-82,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; Terrell Co.,North America,NA,NA,NA,USA,NA,Texas,NA,NA,"Texas, Terrell Co.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.20417,-102.06002,NAD27,108197,NA,NA,NA,NA,DM,NA,NA,NA,NA,NA,NA,"USGS 1:250,000",NA,Georeferenced at approx geographic center of County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D.L. Jameson,6/10/1987,NA,NA,NA,NA,NA,Bufo punctatus,NA,NA,NA,NA,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,punctatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
31.804,-106.2051,El Paso,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:175652. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-175652,CAS,NA,NA,CAS,HERP,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:HERP:175652,175652,NA,S. Cutler,NA,NA,Juv,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/17/1988,NA,261,261,1988,1980,9,17,17-Sep-88,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; El Paso Co.,North America,NA,NA,NA,USA,NA,Texas,NA,"El Paso, pond E of check dam, ca 0.25 mi E of ArtCraft and Northwestern Streets","pond east of check dam ca 1/4 mi E. of ArtCraft and Northwestern Sts., El Paso, Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.76783,-106.486,WGS84,186,NA,NA,NA,NA,DM,NA,NA,NA,NA,NA,NA,Street Maps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J.V. Vindum,8/27/1990,NA,NA,NA,NA,NA,Bufo punctatus,NA,NA,NA,NA,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,punctatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Juv,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
31.804,-106.2051,El Paso,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:175653. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-175653,CAS,NA,NA,CAS,HERP,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:HERP:175653,175653,NA,S. Cutler,NA,NA,Juv,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/17/1988,NA,261,261,1988,1980,9,17,17-Sep-88,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; El Paso Co.,North America,NA,NA,NA,USA,NA,Texas,NA,"El Paso, pond E of check dam, ca 0.25 mi E of ArtCraft and Northwestern Streets","pond east of check dam ca 1/4 mi E. of ArtCraft and Northwestern Sts., El Paso, Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.76783,-106.486,WGS84,186,NA,NA,NA,NA,DM,NA,NA,NA,NA,NA,NA,Street Maps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J.V. Vindum,8/27/1990,NA,NA,NA,NA,NA,Bufo punctatus,NA,NA,NA,NA,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,punctatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Juv,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
31.4308,-103.7289,Reeves,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUA:2966. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sua?id=urn-catalog-cas-sua-2966,SUA,NA,NA,CAS,SUA,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:SUA:2966,2966,211,G.M. Kranzthor and G.S. Myers,NA,NA,NA,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/8/1929,NA,128,128,1929,1920,5,8,8-May-29,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; Reeves Co.,North America,NA,NA,NA,USA,NA,Texas,NA,Balmorhea,"Balmorhea, Reeves County, Texas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9861,-103.7444,NAD27,1486,NA,NA,NA,NA,DM,NA,NA,NA,NA,NA,NA,"USGS 1:24,000",NA,"Georeferenced at highway center of Balmorhea (= on Hwy 17/old Hwy 290, 1 block west jct with Hwy 2903)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G.S. Myers,1/1/1929,NA,NA,NA,NA,NA,Bufo punctatus,NA,NA,NA,NA,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,punctatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
30.7508,-104.1931,Jeff Davis,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUA:4479. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sua?id=urn-catalog-cas-sua-4479,SUA,NA,NA,CAS,SUA,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:SUA:4479,4479,287,G.M. Kranzthor and G.S. Myers,NA,NA,NA,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/20/1929,NA,140,140,1929,1920,5,20,20-May-29,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; Jeff Davis Co.,North America,NA,NA,NA,USA,NA,Texas,NA,"Davis Mts., Fishers Ranch","Fishers Ranch, Davis Mts., Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.70818,-104.09634,NAD27,520,NA,NA,NA,NA,DM,NA,NA,NA,NA,NA,NA,"USGS 1:24,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G.S. Myers,10/30/1939,NA,NA,NA,NA,NA,Bufo punctatus,NA,NA,NA,NA,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,punctatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
30.7508,-104.1931,Jeff Davis,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUA:4482. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sua?id=urn-catalog-cas-sua-4482,SUA,NA,NA,CAS,SUA,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:SUA:4482,4482,290,G.M. Kranzthor and G.S. Myers,NA,NA,NA,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/20/1929,NA,140,140,1929,1920,5,20,20-May-29,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; Jeff Davis Co.,North America,NA,NA,NA,USA,NA,Texas,NA,"Davis Mts., Fishers Ranch","Fishers Ranch, Davis Mts., Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.70818,-104.09634,NAD27,520,NA,NA,NA,NA,DM,NA,NA,NA,NA,NA,NA,"USGS 1:24,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G.S. Myers,10/30/1939,NA,NA,NA,NA,NA,Bufo punctatus,NA,NA,NA,NA,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,punctatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
30.7508,-104.1931,Jeff Davis,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUA:4483. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sua?id=urn-catalog-cas-sua-4483,SUA,NA,NA,CAS,SUA,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:SUA:4483,4483,291,G.M. Kranzthor and G.S. Myers,NA,NA,NA,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/20/1929,NA,140,140,1929,1920,5,20,20-May-29,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; Jeff Davis Co.,North America,NA,NA,NA,USA,NA,Texas,NA,"Davis Mts., Fishers Ranch","Fishers Ranch, Davis Mts., Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.70818,-104.09634,NAD27,520,NA,NA,NA,NA,DM,NA,NA,NA,NA,NA,NA,"USGS 1:24,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G.S. Myers,10/30/1939,NA,NA,NA,NA,NA,Bufo punctatus,NA,NA,NA,NA,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,punctatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
31.8508,-97.6982,Bosque,PhysicalObject,8/15/2017,https://creativecommons.org/publicdomain/zero/1.0/,NA,http://vertnet.org/resources/norms.html,Carnegie Museum of Natural History. CM Herps Collection. Record ID: urn:catalog:CM:Herps:2216. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27),http://portal.vertnet.org/o/cm/herps?id=urn-catalog-cm-herps-2216,urn:lsid:biocol.org:col:34702,NA,NA,CM,Herps,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CM:Herps:2216,2216,NA,"ATKINSON, DANIEL A AND GUSTAV A LINK",1,NA,NA,NA,NA,NA,present,whole animal in alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/31/1907,NA,151,151,1907,1900,5,31,5/31/1907,NA,NA,NA,NA,NA,NA,NA,NORTH AMERICA | UNITED STATES | TEXAS | BOSQUE |  |  |  |,North America,NA,NA,NA,United States,US,Texas,NA,CLIFTON,North America | United States | Texas | Bosque | CLIFTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.78,-97.58,NAD27,1378,NA,NA,NA,NA,decimal degrees,NA,NA,NA,NA,NA,VertNet Georeferencing Guidelines,NA,requires verification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUFO PUNCTATUS,NA,NA,NA,NA,Animalia | Chordata | Amphibia | Anura | BUFONIDAE | BUFO,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,punctatus,NA,species,NA,NA,NA,ICZN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnegie Museum of Natural History. CM Herps Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27),76dd8f0d-2daa-4a69-9fcd-55e04230334a,c1da06f0-580e-11dc-8a9e-b8a03c50a862,rogerss@carnegiemnh.org,Stephen Rogers,9/27/2017,10/19/2017,9/5/2015,0,0,0,0,NA,specimen,0
31.8508,-97.6982,Bosque,PhysicalObject,8/15/2017,https://creativecommons.org/publicdomain/zero/1.0/,NA,http://vertnet.org/resources/norms.html,Carnegie Museum of Natural History. CM Herps Collection. Record ID: urn:catalog:CM:Herps:2218. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27),http://portal.vertnet.org/o/cm/herps?id=urn-catalog-cm-herps-2218,urn:lsid:biocol.org:col:34702,NA,NA,CM,Herps,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CM:Herps:2218,2218,NA,"ATKINSON, DANIEL A AND GUSTAV A LINK",1,NA,NA,NA,NA,NA,present,whole animal in alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/31/1907,NA,151,151,1907,1900,5,31,5/31/1907,NA,NA,NA,NA,NA,NA,NA,NORTH AMERICA | UNITED STATES | TEXAS | BOSQUE |  |  |  |,North America,NA,NA,NA,United States,US,Texas,NA,CLIFTON,North America | United States | Texas | Bosque | CLIFTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.78,-97.58,NAD27,1378,NA,NA,NA,NA,decimal degrees,NA,NA,NA,NA,NA,VertNet Georeferencing Guidelines,NA,requires verification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUFO PUNCTATUS,NA,NA,NA,NA,Animalia | Chordata | Amphibia | Anura | BUFONIDAE | BUFO,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,punctatus,NA,species,NA,NA,NA,ICZN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnegie Museum of Natural History. CM Herps Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27),76dd8f0d-2daa-4a69-9fcd-55e04230334a,c1da06f0-580e-11dc-8a9e-b8a03c50a862,rogerss@carnegiemnh.org,Stephen Rogers,9/27/2017,10/19/2017,9/5/2015,0,0,0,0,NA,specimen,0
