County Latitude,County Longitude,county,type,modified,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,occurrenceid,catalognumber,recordnumber,recordedby,individualcount,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,othercatalognumbers,occurrenceremarks,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,materialsampleid,eventid,fieldnumber,eventdate,eventtime,startdayofyear,enddayofyear,year,decade,month,day,verbatimeventdate,habitat,samplingprotocol,samplingeffort,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,municipality,locality,verbatimlocality,minimumelevationinmeters,maximumelevationinmeters,verbatimelevation,minimumdepthinmeters,maximumdepthinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,coordinateprecision,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,footprintwkt,footprintsrs,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identificationqualifier,typestatus,identifiedby,dateidentified,identificationreferences,identificationverificationstatus,identificationremarks,scientificnameid,namepublishedinid,scientificname,acceptednameusage,originalnameusage,namepublishedin,namepublishedinyear,higherclassification,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,taxonremarks,lengthinmm,lengthtype,lengthunitsinferred,massing,massunitsinferred,underivedlifestage,underivedsex,dataset_url,dataset_citation,gbifdatasetid,gbifpublisherid,dataset_contact_email,dataset_contact,dataset_pubdate,lastindexed,migrator_version,hasmedia,hastissue,wascaptive,isfossil,isarch,vntype,haslength
31.4308,-103.7289,Reeves,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUR:8640. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sur?id=urn-catalog-cas-sur-8640,SUR,,,CAS,SUR,,PreservedSpecimen,,,,urn:catalog:CAS:SUR:8640,8640,199,G.M. Kranzthor and G.S. Myers,,,,,,,,Alcohol,,,,,,,,,,,,,,,,,,5/6/1929,,126,126,1929,1920,5,6,6-May-29,,,,,,,,North America; USA; Texas; Reeves Co.,North America,,,,USA,,Texas,,Toyahvale,"Toyahvale, Reeves Co., Texas",,,,,,,,,,,30.9444,-103.78848,NAD27,520,,,,,DM,,,,,,,"USGS 1:24,000",,"Georeferenced at highway center of Toyahvale (= on Hwy 17/old Hwy 290, 0.15 mi west jct with access rd  to Balmorhea State Park",,,,,,,,,,,,,,,,,,,,,,G.S. Myers,1/1/1940,,,,,,Trachemys scripta troostii,,,,,Animalia; Chordata; Reptilia; Testudines; Emydidae,Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,,scripta,troostii,,,,,,,,,,,,,,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
31.4308,-103.7289,Reeves,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUR:8641. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sur?id=urn-catalog-cas-sur-8641,SUR,,,CAS,SUR,,PreservedSpecimen,,,,urn:catalog:CAS:SUR:8641,8641,264,G.M. Kranzthor and G.S. Myers,,,,,,,,Alcohol,,,,,,,,,,,,,,,,,,5/12/1929,,132,132,1929,1920,5,12,12-May-29,,,,,,,,North America; USA; Texas; Reeves Co.,North America,,,,USA,,Texas,,"Balmorhea, Toyah Creek, or-a-tributary","Toyah Creek, or-a-tributary, Balmorhea, Texas, (Reeves Co.)",,,,,,,,,,,30.98746,-103.74477,NAD27,762,,,,,DM,,,,,,,"USGS 1:24,000",,,,,,,,,,,,,,,,,,,,,,,,G.S. Myers,1/1/1940,,,,,,Trachemys scripta troostii,,,,,Animalia; Chordata; Reptilia; Testudines; Emydidae,Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,,scripta,troostii,,,,,,,,,,,,,,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
31.4308,-103.7289,Reeves,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUR:8642. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sur?id=urn-catalog-cas-sur-8642,SUR,,,CAS,SUR,,PreservedSpecimen,,,,urn:catalog:CAS:SUR:8642,8642,265,G.M. Kranzthor and G.S. Myers,,,J/A,,,,,Alcohol,,,,,,,,,,,,,,,,,,5/12/1929,,132,132,1929,1920,5,12,12-May-29,,,,,,,,North America; USA; Texas; Reeves Co.,North America,,,,USA,,Texas,,"Balmorhea, Toyah Creek, or-a-tributary","Toyah Creek, or-a-tributary, Balmorhea, Texas, (Reeves Co.)",,,,,,,,,,,30.98746,-103.74477,NAD27,762,,,,,DM,,,,,,,"USGS 1:24,000",,,,,,,,,,,,,,,,,,,,,,,,S. Lin,1/19/2018,,,,,,Trachemys scripta elegans,,,,,Animalia; Chordata; Reptilia; Testudines; Emydidae,Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,,scripta,elegans,,,,,,,,,,,,,J/A,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
30.4338,-99.8125,Kimble,PhysicalObject,10/7/2019,https://creativecommons.org/publicdomain/zero/1.0,,http://vertnet.org/resources/norms.html,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Record ID: 927F1063-D3F7-4CB9-A6FC-1239A5E00759. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),http://portal.vertnet.org/o/lacm/herps?id=927f1063-d3f7-4cb9-a6fc-1239a5e00759,http://biocol.org/urn:lsid:biocol:org:34802,http://biocol.org/urn:lsid:biocol:org:34803,,LACM,Herps,LACM Vertebrates,PreservedSpecimen,,,,927F1063-D3F7-4CB9-A6FC-1239A5E00759,137087,,C Coney,1,,,,,,present,Tissue TC 774,,,,,,TC 774,crossing rd,,,,,,,,,,,6/4/1986,,155,155,1986,1980,6,4,6/4/1986,,,,,,,,| USA | Texas | Kimble |  |  |  |,North America,,,,United States,US,Texas,,1 1/2 mi. NW of Yates & 11 mi. NE junction on Hwy 377,USA | Texas | Kimble | 1 1/2 mi. NW of Yates & 11 mi. NE junction on Hwy 377,,,,,,,,,,,30.56704,-99.64668,NAD27,4962,,,30.56704,-99.64668,degrees decimal minutes,,,,,,VertNet Georeferencing Guidelines,,requires verification,offset by rd on Hwy 377 from highway center of Junction (= jct Hwys 377 & old Hwy 290-Hwy 87 Business); offset from Yates not usable (goeref is 3.6 air mi. SW Yates),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trachemys scripta,,,,,Chordata | Reptilia | Chelonia | Emydidae | Trachemys |,Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,,scripta,,species,,,,ICZN,,,,,,,,,,,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),7a25f7aa-03fb-4322-aaeb-66719e1a9527,493fe050-055d-11d8-b84f-b8a03c50a862,rfeeney@nhm.org,Rick Feeney,10/3/2019,10/9/2019,10/3/2019,0,1,0,0,0,specimen,0
30.315,-98.9245,Gillespie,PhysicalObject,6/20/2019,https://creativecommons.org/publicdomain/zero/1.0,,http://vertnet.org/resources/norms.html,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Record ID: F300B6AD-BC89-4719-BC88-FEAF935956DB. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),http://portal.vertnet.org/o/lacm/herps?id=f300b6ad-bc89-4719-bc88-feaf935956db,http://biocol.org/urn:lsid:biocol:org:34802,http://biocol.org/urn:lsid:biocol:org:34803,,LACM,Herps,LACM Vertebrates,PreservedSpecimen,,,,F300B6AD-BC89-4719-BC88-FEAF935956DB,66669,1418,R.D. Worthington,1,,,,,,present,,,,,,,,,,,,,,,,,,,4/29/1962,,119,119,1962,1960,4,29,4/29/1962,,,,,,,,| USA | Texas | Gillespie |  |  |  |,North America,,,,United States,US,Texas,,6.2 mi. E jct. 290 and Pedernalis R.,USA | Texas | Gillespie | 6.2 mi. E jct. 290 and Pedernalis R.,,,,,,,,,,,30.22235,-98.71608,WGS84,277,,,30.22235,-98.71608,degrees decimal minutes,,,,,,VertNet Georeferencing Guidelines,,requires verification,offset by rd on Hwy 290 from Pedernales River crossing that is east of Fredericksburg; GPS measurement accuracy = 15 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trachemys scripta,,,,,Chordata | Reptilia | Chelonia | Emydidae | Trachemys |,Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,,scripta,,species,,,,ICZN,,,,,,,,,,,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),7a25f7aa-03fb-4322-aaeb-66719e1a9527,493fe050-055d-11d8-b84f-b8a03c50a862,rfeeney@nhm.org,Rick Feeney,10/3/2019,10/9/2019,10/3/2019,0,0,0,0,0,specimen,0
33.7062,-96.6638,Grayson,PhysicalObject,28:00.0,http://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Herp:129372?seid=1407951. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Herp:129372,MVZ,30,,MVZ,Amphibian and reptile specimens,,PreservedSpecimen,,,sex=unknown ; age class=adult/juvenile,http://arctos.database.museum/guid/MVZ:Herp:129372?seid=1407951,MVZ:Herp:129372,,Collector(s): Karl W. Haller,1,undetermined,adult/juvenile,,,,,whole organism (ethanol),,,,,,,,http://arctos.database.museum/guid/MVZ:Herp:129372,,,,,"<i>Trachemys scripta</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",,,,,4/28/1973,,118,118,1973,1970,4,28,28-Apr-73,,,,,,,,"North America, United States, Texas, Grayson County",North America,,,,United States,,Texas,,Pottsboro,Pottsboro,,,,,,,,,Mia Hwang,,33.765438,-96.669253,unknown,3116,,3739339N 715617E ZONE 14,,,UTM,,,,Mia Hwang,3/3/2003,GeoLocate,GeoLocate,unverified,,,,,,,,,,,,,,,,,,,,,A,,"Museum of Vertebrate Zoology, University of California, Berkeley",1/27/1999,,legacy,,,,Trachemys scripta,,,,,Animalia; Chordata; Reptilia; Testudines; Emydidae;,Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,,scripta,,species,,,,ICZN,,,,,,,,adult/juvenile,unknown,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",09c4287e-e6d5-4552-a07f-bff8a00833d8,8edbbde0-055e-11d8-b850-b8a03c50a862,atrox@berkeley.edu,Carol Spencer,7/6/2019,9/22/2019,no migrator,0,0,0,0,0,specimen,0
30.6504,-96.3226,Brazos,PhysicalObject,02:05.0,http://creativecommons.org/publicdomain/zero/1.0/,,http://www.vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Herp:187677?seid=478406. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Herp:187677,urn:lsid:biocol.org:col:34777,urn:lsid:biocol.org:col:34818,,MVZ,Amphibian and reptile specimens,,PreservedSpecimen,,,sex=unknown ; age class=adult/juvenile,http://arctos.database.museum/guid/MVZ:Herp:187677?seid=478406,MVZ:Herp:187677,163-A,Collector(s): E. K. Teberg,1,undetermined,adult/juvenile,,,,,whole organism (ethanol),,,,,,collector number=163-A,,http://arctos.database.museum/guid/MVZ:Herp:187677,,,,,"<i>Trachemys scripta</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",,,,,4/24/1952,,115,115,1952,1950,4,24,24-Apr-52,,,,,,,,"North America, United States, Texas, Brazos County",North America,,,,United States,,Texas,,College Station,College Station,,,,,,,,,Mia Hwang,,30.628,-96.334,unknown,5026,,30.628/-96.334,,,decimal degrees,,,,Mia Hwang,3/3/2003,MaNIS georeferencing guidelines,Topozone.com,unverified,,,,,,,,,,,,,,,,,,,,,A,,"Museum of Vertebrate Zoology, University of California, Berkeley",1/27/1999,,legacy,,,,Trachemys scripta,,,,,Animalia; Chordata; Reptilia; Testudines; Emydidae;,Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,,scripta,,species,,,,ICZN,,,,,,,,adult/juvenile,unknown,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",09c4287e-e6d5-4552-a07f-bff8a00833d8,8edbbde0-055e-11d8-b850-b8a03c50a862,atrox@berkeley.edu,Carol Spencer,7/6/2019,9/22/2019,no migrator,0,0,0,0,0,specimen,0
31.8715,-99.9912,Runnels,PhysicalObject,06:48.0,http://creativecommons.org/publicdomain/zero/1.0/,,http://www.vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Herp:250689?seid=2607689. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Herp:250689,urn:lsid:biocol.org:col:34777,urn:lsid:biocol.org:col:34818,,MVZ,Amphibian and reptile specimens,,PreservedSpecimen,,,sex=not recorded,http://arctos.database.museum/guid/MVZ:Herp:250689?seid=2607689,MVZ:Herp:250689,TJP 29412,Collector(s): Theodore J. Papenfuss,1,undetermined,,,,,,tissue (frozen); tissue (frozen); whole organism (ethanol),,,,,,collector number=TJP 29412,,http://arctos.database.museum/guid/MVZ:Herp:250689,,,,,<i>Trachemys scripta</i> (accepted ID) identified by Theodore J. Papenfuss on 2004-08-12; method: field,,,,,8/12/2004,,225,225,2004,2000,8,12,12-Aug-04,,,,,,,,"North America, United States, Texas",North America,,,,United States,,Texas,,"Farm Rd. 2887 at Coyote Creek Bridge 7.2 mi N (by road), Ballingen Runnels Co.","Elev. 515m, 31.8308°N 99.9516°W, Farm Road 2887 at Coyote Creek Bridge 7.2 mi. N (by road) Ballingen Runnels Co., Texas",515,515,,,,,,,Theodore J. Papenfuss,,31.8308,-99.9516,World Geodetic System 1984,30,,31.8308/-99.9516,,,decimal degrees,,,,Theodore J. Papenfuss,8/12/2004,MaNIS georeferencing guidelines,GPS,unverified,,,,,,,,,,,,,,,,,,,,,A,,Theodore J. Papenfuss,8/12/2004,,field,,,,Trachemys scripta,,,,,Animalia; Chordata; Reptilia; Testudines; Emydidae;,Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,,scripta,,species,,,,ICZN,,,,,,,,,not recorded,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",09c4287e-e6d5-4552-a07f-bff8a00833d8,8edbbde0-055e-11d8-b850-b8a03c50a862,atrox@berkeley.edu,Carol Spencer,7/6/2019,9/22/2019,no migrator,0,1,0,0,0,specimen,0
30.9802,-99.8125,Menard,PhysicalObject,02:30.0,http://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Herp:250692?seid=1974701. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Herp:250692,MVZ,30,,MVZ,Amphibian and reptile specimens,,PreservedSpecimen,,,sex=not recorded,http://arctos.database.museum/guid/MVZ:Herp:250692?seid=1974701,MVZ:Herp:250692,TJP 29415,Collector(s): Theodore J. Papenfuss,1,undetermined,,,,,,tissue (frozen); tissue (frozen); whole organism (ethanol),,,,,,collector number=TJP 29415,,http://arctos.database.museum/guid/MVZ:Herp:250692,,,,,<i>Trachemys scripta</i> (accepted ID) identified by Theodore J. Papenfuss on 2004-08-13; method: field,,,,,8/13/2004,,226,226,2004,2000,8,13,13-Aug-04,,,,,,,,"North America, United States, Texas, Menard County",North America,,,,United States,,Texas,,Saba River at Bois d'Arc Rd.,"Elev. 592m 30.9013°N, 99.9154° W, Saba River at Bois d'Arc Road, Menard Co., Texas",592,592,,,,,,,Theodore J. Papenfuss,,30.9013,-99.9154,unknown,30,,30.9013/-99.9154,,,decimal degrees,,,,Theodore J. Papenfuss,8/13/2004,MaNIS georeferencing guidelines,GPS,unverified,,,,,,,,,,,,,,,,,,,,,A,,Theodore J. Papenfuss,8/13/2004,,field,,,,Trachemys scripta,,,,,Animalia; Chordata; Reptilia; Testudines; Emydidae;,Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,,scripta,,species,,,,ICZN,,,,,,,,,not recorded,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",09c4287e-e6d5-4552-a07f-bff8a00833d8,8edbbde0-055e-11d8-b850-b8a03c50a862,atrox@berkeley.edu,Carol Spencer,7/6/2019,9/22/2019,no migrator,0,1,0,0,0,specimen,0
29.663,-103.3587,Brewster,PhysicalObject,06:57.0,http://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Herp:250717?seid=2654172. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Herp:250717,MVZ,30,,MVZ,Amphibian and reptile specimens,,PreservedSpecimen,,,sex=not recorded,http://arctos.database.museum/guid/MVZ:Herp:250717?seid=2654172,MVZ:Herp:250717,TJP 29444,Collector(s): Theodore J. Papenfuss,1,undetermined,,,,,,tissue (frozen); tissue (frozen); whole organism (ethanol),,,,,,collector number=TJP 29444,,http://arctos.database.museum/guid/MVZ:Herp:250717,,,,,<i>Trachemys scripta elegans</i> (accepted ID) identified by James F. Parham on 2015-02-03; method: expert,,,,,10/23/2004,,297,297,2004,2000,10,23,23-Oct-04,,,,,,,,"North America, United States, Texas, Brewster County",North America,,,,United States,,Texas,,"Pond at NE Edge of Farm Rd. 170, Lajitas","Elev. 700m 29.2636°N, 103.7786°W, Pond at NE Edge of Farm Road 170, Lajitas, Brewster Co., Texas",700,700,,,,,,,Theodore J. Papenfuss,,29.2636,-103.7786,World Geodetic System 1984,30,,29.2636/-103.7786,,,decimal degrees,,,,Theodore J. Papenfuss,10/23/2004,MaNIS georeferencing guidelines,GPS,unverified,,,,,,,,,,,,,,,,,,,,,A,,James F. Parham,2/3/2015,,expert,,,,Trachemys scripta elegans,,,,,Animalia; Chordata; Reptilia; Testudines; Emydidae;,Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,,scripta,elegans,subspecies,,,,ICZN,,,,,,,,,not recorded,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",09c4287e-e6d5-4552-a07f-bff8a00833d8,8edbbde0-055e-11d8-b850-b8a03c50a862,atrox@berkeley.edu,Carol Spencer,7/6/2019,9/22/2019,no migrator,0,1,0,0,0,specimen,0
