County Latitude,County Longitude,county,type,modified,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,occurrenceid,catalognumber,recordnumber,recordedby,individualcount,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,othercatalognumbers,occurrenceremarks,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,materialsampleid,eventid,fieldnumber,eventdate,eventtime,startdayofyear,enddayofyear,year,decade,month,day,verbatimeventdate,habitat,samplingprotocol,samplingeffort,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,municipality,locality,verbatimlocality,minimumelevationinmeters,maximumelevationinmeters,verbatimelevation,minimumdepthinmeters,maximumdepthinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,coordinateprecision,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,footprintwkt,footprintsrs,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identificationqualifier,typestatus,identifiedby,dateidentified,identificationreferences,identificationverificationstatus,identificationremarks,scientificnameid,namepublishedinid,scientificname,acceptednameusage,originalnameusage,namepublishedin,namepublishedinyear,higherclassification,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,taxonremarks,lengthinmm,lengthtype,lengthunitsinferred,massing,massunitsinferred,underivedlifestage,underivedsex,dataset_url,dataset_citation,gbifdatasetid,gbifpublisherid,dataset_contact_email,dataset_contact,dataset_pubdate,lastindexed,migrator_version,hasmedia,hastissue,wascaptive,isfossil,isarch,vntype,haslength
32.0992,-96.493,Navarro,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:162892. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-162892,CAS,NA,NA,CAS,HERP,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:HERP:162892,162892,DLJ-153,"L.B. Dove, A.J. Carlisle and L.F. Garza",NA,NA,Adult,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/19/1982,NA,78,78,1982,1980,3,19,19-Mar-82,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; Navarro Co.,North America,NA,NA,NA,USA,NA,Texas,NA,Navarro Mills,"Texas, Navarro Co., Navarro Mills",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.95797,-96.68607,NAD27,590,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,Terrain Navigator Version 6.04 (Maptech): Scale 1:24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D.L. Jameson,6/26/1987,NA,NA,NA,NA,NA,Bufo woodhousii woodhousii,NA,NA,NA,NA,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,woodhousii,woodhousii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
32.0992,-96.493,Navarro,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:162893. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-162893,CAS,NA,NA,CAS,HERP,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:HERP:162893,162893,DLJ-154,"L.B. Dove, A.J. Carlisle and L.F. Garza",NA,NA,Adult,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/19/1982,NA,78,78,1982,1980,3,19,19-Mar-82,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; Navarro Co.,North America,NA,NA,NA,USA,NA,Texas,NA,Navarro Mills,"Texas, Navarro Co., Navarro Mills",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.95797,-96.68607,NAD27,590,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,Terrain Navigator Version 6.04 (Maptech): Scale 1:24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D.L. Jameson,6/26/1987,NA,NA,NA,NA,NA,Bufo woodhousii woodhousii,NA,NA,NA,NA,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,woodhousii,woodhousii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
32.3353,-95.3103,Smith,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:163059. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-163059,CAS,NA,NA,CAS,HERP,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:HERP:163059,163059,DLJ-320,N. Ford,NA,NA,Adult,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/20/1982,NA,171,171,1982,1980,6,20,20-Jun-82,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; Smith Co.,North America,NA,NA,NA,USA,NA,Texas,NA,Tyler,"Texas, Smith Co., Tyler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3197495,-95.3071655,NAD27,9026,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,Terrain Navigator Pro Version 8 (Maptech): Scale 1:24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D.L. Jameson,6/10/1987,NA,NA,NA,NA,NA,Bufo woodhousii velatus,NA,NA,NA,NA,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,woodhousii,velatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
32.3353,-95.3103,Smith,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:163060. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-163060,CAS,NA,NA,CAS,HERP,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:HERP:163060,163060,DLJ-321,N. Ford,NA,NA,Adult,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/20/1982,NA,171,171,1982,1980,6,20,20-Jun-82,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; Smith Co.,North America,NA,NA,NA,USA,NA,Texas,NA,Tyler,"Texas, Smith Co., Tyler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3197495,-95.3071655,NAD27,9026,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,Terrain Navigator Pro Version 8 (Maptech): Scale 1:24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D.L. Jameson,6/10/1987,NA,NA,NA,NA,NA,Bufo woodhousii velatus,NA,NA,NA,NA,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,woodhousii,velatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
32.3353,-95.3103,Smith,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:163061. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-163061,CAS,NA,NA,CAS,HERP,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:HERP:163061,163061,DLJ-322,N. Ford,NA,NA,Adult,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/20/1982,NA,171,171,1982,1980,6,20,20-Jun-82,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; Smith Co.,North America,NA,NA,NA,USA,NA,Texas,NA,Tyler,"Texas, Smith Co., Tyler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3197495,-95.3071655,NAD27,9026,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,Terrain Navigator Pro Version 8 (Maptech): Scale 1:24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D.L. Jameson,6/10/1987,NA,NA,NA,NA,NA,Bufo woodhousii velatus,NA,NA,NA,NA,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,woodhousii,velatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
32.3353,-95.3103,Smith,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:163097. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-163097,CAS,NA,NA,CAS,HERP,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:HERP:163097,163097,DLJ-362,N. Ford,NA,NA,Adult,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/15/1982,NA,196,196,1982,1980,7,15,15-Jul-82,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; Smith Co.,North America,NA,NA,NA,USA,NA,Texas,NA,Tyler,"Tyler, Tx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3197495,-95.3071655,NAD27,9026,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,Terrain Navigator Pro Version 8 (Maptech): Scale 1:24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D.L. Jameson,6/10/1987,NA,NA,NA,NA,NA,Bufo woodhousii velatus,NA,NA,NA,NA,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,woodhousii,velatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
31.804,-106.2051,El Paso,PhysicalObject,47:00.0,CC0,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUA:3040. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sua?id=urn-catalog-cas-sua-3040,SUA,NA,NA,CAS,SUA,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CAS:SUA:3040,3040,GSM-306,G.M. Kranzthor and G.S. Myers,NA,NA,NA,NA,NA,NA,NA,Alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/25/1929,NA,145,145,1929,1920,5,25,25-May-29,NA,NA,NA,NA,NA,NA,NA,North America; USA; Texas; El Paso Co.,North America,NA,NA,NA,USA,NA,Texas,NA,Tornillo,"Tornillo, El Paso Co., Texas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.44525,-106.08942,NAD27,1325,NA,NA,NA,NA,DM,NA,NA,NA,NA,NA,NA,"USGS 1:24,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G.S. Myers,1/1/1938,NA,NA,NA,NA,NA,Bufo woodhousii,NA,NA,NA,NA,Animalia; Chordata; Amphibia; Anura; Bufonidae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,woodhousii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
32.5539,-94.3154,Harrison,PhysicalObject,8/16/2017,https://creativecommons.org/publicdomain/zero/1.0/,NA,http://vertnet.org/resources/norms.html,Carnegie Museum of Natural History. CM Herps Collection. Record ID: urn:catalog:CM:Herps:13661. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27),http://portal.vertnet.org/o/cm/herps?id=urn-catalog-cm-herps-13661,urn:lsid:biocol.org:col:34702,NA,NA,CM,Herps,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CM:Herps:13661,13661,NA,"HAMILTON, RODGERS DEAN AND SAM E HALL",1,NA,NA,NA,NA,NA,present,whole animal in alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,9/6/1938,NA,249,249,1938,1930,9,6,9/6/1938,NA,NA,NA,NA,NA,NA,NA,NORTH AMERICA | UNITED STATES | TEXAS | HARRISON |  |  |  |,North America,NA,NA,NA,United States,US,Texas,NA,12 MI S OF MARSHALL,North America | United States | Texas | Harrison | 12 MI S OF MARSHALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.38,-94.34,NAD27,4208,NA,NA,NA,NA,decimal degrees,NA,NA,NA,NA,NA,VertNet Georeferencing Guidelines,NA,requires verification,Assumed south on US 59; no other road leads south from Marshall.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUFO WOODHOUSII FOWLERI,NA,NA,NA,NA,Animalia | Chordata | Amphibia | Anura | BUFONIDAE | BUFO,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,woodhousii,fowleri,subspecies,NA,NA,NA,ICZN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnegie Museum of Natural History. CM Herps Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27),76dd8f0d-2daa-4a69-9fcd-55e04230334a,c1da06f0-580e-11dc-8a9e-b8a03c50a862,rogerss@carnegiemnh.org,Stephen Rogers,9/27/2017,10/19/2017,9/5/2015,0,0,0,0,NA,specimen,0
33.1419,-97.179,Denton,PhysicalObject,8/16/2017,https://creativecommons.org/publicdomain/zero/1.0/,NA,http://vertnet.org/resources/norms.html,Carnegie Museum of Natural History. CM Herps Collection. Record ID: urn:catalog:CM:Herps:5253. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27),http://portal.vertnet.org/o/cm/herps?id=urn-catalog-cm-herps-5253,urn:lsid:biocol.org:col:34702,NA,NA,CM,Herps,NA,PreservedSpecimen,NA,NA,NA,urn:catalog:CM:Herps:5253,5253,NA,"BURT, CHARLES E",2,NA,NA,NA,NA,NA,present,whole animal in alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CEB 104,4/17/1931,NA,107,107,1931,1930,4,17,4/17/1931,NA,NA,NA,NA,NA,NA,NA,NORTH AMERICA | UNITED STATES | TEXAS | DENTON |  |  |  |,North America,NA,NA,NA,United States,US,Texas,NA,6 MI W OF ROANOKE,North America | United States | Texas | Denton | 6 MI W OF ROANOKE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.03,-97.31,NAD27,1389,NA,NA,NA,NA,decimal degrees,NA,NA,NA,NA,NA,VertNet Georeferencing Guidelines,NA,requires verification,Assumed west on Hwy 114; no other road leads west from Roanoke.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUFO WOODHOUSII WOODHOUSII,NA,NA,NA,NA,Animalia | Chordata | Amphibia | Anura | BUFONIDAE | BUFO,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,woodhousii,woodhousii,subspecies,NA,NA,NA,ICZN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnegie Museum of Natural History. CM Herps Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27),76dd8f0d-2daa-4a69-9fcd-55e04230334a,c1da06f0-580e-11dc-8a9e-b8a03c50a862,rogerss@carnegiemnh.org,Stephen Rogers,9/27/2017,10/19/2017,9/5/2015,0,0,0,0,NA,specimen,0
31.5707,-105.5943,Hudspeth,PhysicalObject,3/1/2018,https://creativecommons.org/publicdomain/zero/1.0/,NA,http://vertnet.org/resources/norms.html,Cornell University Museum of Vertebrates. CUMV Amphibian and Reptile Collection. Record ID: 4d68f2b5-5381-11e6-9649-a4a3446a4726. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_amph (source published on 2018-07-02),http://portal.vertnet.org/o/cumv/amph-rept?id=4d68f2b5-5381-11e6-9649-a4a3446a4726,http://grbio.org/cool/i64g-wjcr,http://grbio.org/cool/fra1-wrdm | http://grbio.org/cool/vg5r-57jw,NA,CUMV,Amph | Rept,NA,PreservedSpecimen,NA,NA,NA,4d68f2b5-5381-11e6-9649-a4a3446a4726,A-0008105,AHW 138,Albert Hazen Wright,NA,NA,NA,NA,NA,NA,present,whole organism (isopropanol) - 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHW 1917JUL09,7/9/1917,NA,190,190,1917,1910,7,9,7/9/1917,NA,NA,NA,NA,NA,NA,NA,North America | United States | Texas | Hudspeth County |  |  |  |,North America,NA,NA,NA,United States,US,Texas,NA,Sierra Blanca,North America | United States | Texas | Hudspeth County | Sierra Blanca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.1794281,-105.3559112,NAD27,3352,NA,NA,NA,NA,NA,NA,NA,NA,Agent Man Secret,6/9/2004,NA,NA,requires verification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bufo woodhousii woodhousii,NA,NA,NA,NA,Animalia | Chordata | Amphibia | Anura | Bufonidae | Bufo,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA,woodhousii,woodhousii,subspecies,NA,NA,NA,ICZN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cornell University Museum of Vertebrates. CUMV Amphibian and Reptile Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_amph (source published on 2018-07-02),a8ee9bc6-5914-427d-9fba-f8545250ac34,cf9ceb80-9f3d-11da-b791-b8a03c50a862,cbd63@cornell.edu,Casey Dillman,7/2/2018,7/3/2018,1/8/2018,0,0,0,0,0,specimen,0
